Unnamed: 0,namespace,pod_name,container_name,joules,K,timestamp
0,orchestrator,orchestrator-555f7b7c9d-m4n2x,linkerd-init,0.0,5,05-03-26-182241
1,orchestrator,policy-enforcer-cb8dccbd8-bp7zm,linkerd-init,0.0,5,05-03-26-182241
2,orchestrator,policy-enforcer-cb8dccbd8-bp7zm,linkerd-proxy,8808.374511718748,5,05-03-26-182241
3,orchestrator,orchestrator-555f7b7c9d-m4n2x,linkerd-proxy,8807.762988281249,5,05-03-26-182241
4,client7,client7-544486cc98-jwmrh,linkerd-init,0.0,5,05-03-26-182241
5,client7,client7-544486cc98-jwmrh,sidecar,17847.7111328125,5,05-03-26-182241
6,client7,client7-544486cc98-jwmrh,linkerd-proxy,17875.45068359375,5,05-03-26-182241
7,client7,client7-544486cc98-jwmrh,client7,17883.542773437497,5,05-03-26-182241
8,client5,client5-7d5ff7f8b4-m5sjg,client5,16789.56064453125,5,05-03-26-182241
9,client5,client5-7d5ff7f8b4-m5sjg,sidecar,14701.5138671875,5,05-03-26-182241
10,client5,client5-7d5ff7f8b4-m5sjg,linkerd-proxy,16680.2341796875,5,05-03-26-182241
11,client5,client5-7d5ff7f8b4-m5sjg,linkerd-init,0.0,5,05-03-26-182241
12,client8,client8-5845965f99-qmkgv,linkerd-init,0.0,5,05-03-26-182241
13,client8,client8-5845965f99-qmkgv,sidecar,16853.03798828125,5,05-03-26-182241
14,client8,client8-5845965f99-qmkgv,linkerd-proxy,17306.5673828125,5,05-03-26-182241
15,client8,client8-5845965f99-qmkgv,client8,17312.9005859375,5,05-03-26-182241
16,client13,client13-7bf86f4f87-kwgnq,linkerd-init,0.0,5,05-03-26-182241
17,client13,client13-7bf86f4f87-kwgnq,client13,16249.86396484375,5,05-03-26-182241
18,client13,client13-7bf86f4f87-kwgnq,sidecar,14793.051660156249,5,05-03-26-182241
19,client13,client13-7bf86f4f87-kwgnq,linkerd-proxy,16151.690234375,5,05-03-26-182241
20,server,server-656f98b57f-dtn76,linkerd-init,0.0,5,05-03-26-182241
21,server,server-656f98b57f-dtn76,linkerd-proxy,11841.24619140625,5,05-03-26-182241
22,client4,client4-744474fb99-hrpc7,sidecar,17872.453613281246,5,05-03-26-182241
23,client4,client4-744474fb99-hrpc7,client4,17912.962499999998,5,05-03-26-182241
24,client4,client4-744474fb99-hrpc7,linkerd-init,0.0,5,05-03-26-182241
25,client4,client4-744474fb99-hrpc7,linkerd-proxy,17907.861425781248,5,05-03-26-182241
26,client16,client16-6dc7f87f54-zc4xg,sidecar,17747.179101562495,5,05-03-26-182241
27,client16,client16-6dc7f87f54-zc4xg,client16,18175.8751953125,5,05-03-26-182241
28,client16,client16-6dc7f87f54-zc4xg,linkerd-proxy,18170.57734375,5,05-03-26-182241
29,client16,client16-6dc7f87f54-zc4xg,linkerd-init,0.0,5,05-03-26-182241
30,client3,client3-58c68898cd-k9k84,linkerd-proxy,18208.836914062496,5,05-03-26-182241
31,client3,client3-58c68898cd-k9k84,sidecar,18173.02041015625,5,05-03-26-182241
32,client3,client3-58c68898cd-k9k84,linkerd-init,0.0,5,05-03-26-182241
33,client3,client3-58c68898cd-k9k84,client3,18213.73818359375,5,05-03-26-182241
34,client9,client9-d68fb99b4-fvgvk,linkerd-init,0.0,5,05-03-26-182241
35,client9,client9-d68fb99b4-fvgvk,sidecar,16329.289355468749,5,05-03-26-182241
36,client9,client9-d68fb99b4-fvgvk,linkerd-proxy,17230.205664062498,5,05-03-26-182241
37,client9,client9-d68fb99b4-fvgvk,client9,17259.45283203125,5,05-03-26-182241
38,client11,client11-565c48c7c7-bvczt,linkerd-init,0.0,5,05-03-26-182241
39,client11,client11-565c48c7c7-bvczt,client11,18205.9306640625,5,05-03-26-182241
40,client11,client11-565c48c7c7-bvczt,sidecar,16350.49287109375,5,05-03-26-182241
41,client11,client11-565c48c7c7-bvczt,linkerd-proxy,18200.71455078125,5,05-03-26-182241
42,client1,client1-7b9db886dd-hwp4n,sidecar,14394.09921875,5,05-03-26-182241
43,client1,client1-7b9db886dd-hwp4n,linkerd-proxy,16382.882421874998,5,05-03-26-182241
44,client1,client1-7b9db886dd-hwp4n,client1,16411.602832031247,5,05-03-26-182241
45,client1,client1-7b9db886dd-hwp4n,linkerd-init,0.0,5,05-03-26-182241
46,client20,client20-65f8864f77-ph442,client20,17918.778027343746,5,05-03-26-182241
47,client20,client20-65f8864f77-ph442,sidecar,17379.5384765625,5,05-03-26-182241
48,client20,client20-65f8864f77-ph442,linkerd-init,0.0,5,05-03-26-182241
49,client20,client20-65f8864f77-ph442,linkerd-proxy,17913.71630859375,5,05-03-26-182241
50,client12,client12-79bc8d5846-8vjdc,linkerd-proxy,18514.95888671875,5,05-03-26-182241
51,client12,client12-79bc8d5846-8vjdc,sidecar,16345.098144531248,5,05-03-26-182241
52,client12,client12-79bc8d5846-8vjdc,linkerd-init,0.0,5,05-03-26-182241
53,client12,client12-79bc8d5846-8vjdc,client12,18519.18505859375,5,05-03-26-182241
54,client10,client10-694b6b97b4-tr6fb,linkerd-proxy,18555.046972656248,5,05-03-26-182241
55,client10,client10-694b6b97b4-tr6fb,sidecar,16549.74658203125,5,05-03-26-182241
56,client10,client10-694b6b97b4-tr6fb,client10,18559.993652343743,5,05-03-26-182241
57,client10,client10-694b6b97b4-tr6fb,linkerd-init,0.0,5,05-03-26-182241
58,client15,client15-79c969ddf-8qcmq,client15,18529.86552734375,5,05-03-26-182241
59,client15,client15-79c969ddf-8qcmq,sidecar,18490.97626953125,5,05-03-26-182241
60,client15,client15-79c969ddf-8qcmq,linkerd-init,0.0,5,05-03-26-182241
61,client15,client15-79c969ddf-8qcmq,linkerd-proxy,18523.553515625,5,05-03-26-182241
62,client6,client6-785d875985-m4nkl,linkerd-init,0.0,5,05-03-26-182241
63,client6,client6-785d875985-m4nkl,client6,17775.10634765625,5,05-03-26-182241
