Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
0,client5,0.2052196770559519,2427.912540966645,5,100,1000.0,10,18-03-26-133632
0,client17,0.2335216572504708,2170.282823033631,5,100,1000.0,10,18-03-26-133632
0,client13,0.2376560999039385,2789.0334241092205,5,100,1000.0,10,18-03-26-133632
0,client1,0.2092675635276532,2347.5826180074364,5,100,1000.0,10,18-03-26-133632
0,client9,0.1940808195788275,2617.1789231011644,5,100,1000.0,10,18-03-26-133632
1,client5,0.2482162974089372,2025.7441849680615,5,100,1000.0,10,18-03-26-133632
1,client17,0.2768361581920904,2004.6954390127207,5,100,1000.0,10,18-03-26-133632
1,client13,0.2958693563880883,2372.078515938483,5,100,1000.0,10,18-03-26-133632
1,client1,0.2819506726457399,2010.488464962691,5,100,1000.0,10,18-03-26-133632
1,client9,0.254600645038892,2274.457488907501,5,100,1000.0,10,18-03-26-133632
2,client5,0.4068719489297784,1932.445905986242,5,100,1000.0,10,18-03-26-133632
2,client17,0.408286252354049,2013.017565011978,5,100,1000.0,10,18-03-26-133632
2,client13,0.3938520653218059,2364.05949795153,5,100,1000.0,10,18-03-26-133632
2,client1,0.3155829596412556,1997.9522039648143,5,100,1000.0,10,18-03-26-133632
2,client9,0.3458546765319674,2270.622096955776,5,100,1000.0,10,18-03-26-133632
3,client5,0.4665790461885092,1938.3486000588164,5,100,1000.0,10,18-03-26-133632
3,client17,0.4410546139359698,2077.733480022289,5,100,1000.0,10,18-03-26-133632
3,client13,0.4929875120076849,2353.517387062311,5,100,1000.0,10,18-03-26-133632
3,client1,0.500186846038864,2084.7753930138424,5,100,1000.0,10,18-03-26-133632
3,client9,0.42876114589262,2263.584911008365,5,100,1000.0,10,18-03-26-133632
4,client5,0.4836650394292152,2261.160710011609,5,100,1000.0,10,18-03-26-133632
4,client17,0.5662900188323917,1991.6422240203249,5,100,1000.0,10,18-03-26-133632
4,client13,0.512776176753122,2480.103063979186,5,100,1000.0,10,18-03-26-133632
4,client1,0.5497010463378177,2010.8605559216808,5,100,1000.0,10,18-03-26-133632
4,client9,0.5393663441472206,2276.834211079404,5,100,1000.0,10,18-03-26-133632
