Unnamed: 0,namespace,pod_name,container_name,joules,K,Z,sigma_ed,sigma_iid,timestamp
0,orchestrator,init-etcd-pvc-tc44n,init,0.0,5,100,1000.0,10,18-03-26-133632
1,orchestrator,orchestrator-555f7b7c9d-z8jw7,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
2,orchestrator,policy-enforcer-cb8dccbd8-77px5,linkerd-proxy,8629.32228046875,5,100,1000.0,10,18-03-26-133632
3,orchestrator,policy-enforcer-cb8dccbd8-77px5,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
4,orchestrator,orchestrator-555f7b7c9d-z8jw7,linkerd-proxy,8630.745215625,5,100,1000.0,10,18-03-26-133632
5,client6,client6-785d875985-rx626,sidecar,18359.899696875,5,100,1000.0,10,18-03-26-133632
6,client6,client6-785d875985-rx626,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
7,client6,client6-785d875985-rx626,linkerd-proxy,18404.01672890625,5,100,1000.0,10,18-03-26-133632
8,client6,client6-785d875985-rx626,client6,18410.74772578125,5,100,1000.0,10,18-03-26-133632
9,client4,client4-744474fb99-kr9wr,linkerd-proxy,18616.81653046875,5,100,1000.0,10,18-03-26-133632
10,client4,client4-744474fb99-kr9wr,client4,18617.614099218757,5,100,1000.0,10,18-03-26-133632
11,client4,client4-744474fb99-kr9wr,sidecar,18563.083357031253,5,100,1000.0,10,18-03-26-133632
12,client4,client4-744474fb99-kr9wr,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
13,client17,client17-69b85b5ccf-qdtz6,client17,16573.786776562505,5,100,1000.0,10,18-03-26-133632
14,client17,client17-69b85b5ccf-qdtz6,linkerd-proxy,16503.28351171875,5,100,1000.0,10,18-03-26-133632
15,client17,client17-69b85b5ccf-qdtz6,sidecar,15018.174246093751,5,100,1000.0,10,18-03-26-133632
16,client17,client17-69b85b5ccf-qdtz6,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
17,client15,client15-79c969ddf-nqb7l,linkerd-proxy,18110.83166484375,5,100,1000.0,10,18-03-26-133632
18,client15,client15-79c969ddf-nqb7l,client15,18116.1699375,5,100,1000.0,10,18-03-26-133632
19,client15,client15-79c969ddf-nqb7l,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
20,client15,client15-79c969ddf-nqb7l,sidecar,18031.5249328125,5,100,1000.0,10,18-03-26-133632
21,client9,client9-d68fb99b4-227bz,linkerd-proxy,16586.016687401574,5,100,1000.0,10,18-03-26-133632
22,client9,client9-d68fb99b4-227bz,sidecar,12491.509202362206,5,100,1000.0,10,18-03-26-133632
23,client9,client9-d68fb99b4-227bz,client9,16652.900562992127,5,100,1000.0,10,18-03-26-133632
24,client9,client9-d68fb99b4-227bz,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
25,client5,client5-7d5ff7f8b4-5w8zm,sidecar,14077.08577322835,5,100,1000.0,10,18-03-26-133632
26,client5,client5-7d5ff7f8b4-5w8zm,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
27,client5,client5-7d5ff7f8b4-5w8zm,client5,16669.7448496063,5,100,1000.0,10,18-03-26-133632
28,client5,client5-7d5ff7f8b4-5w8zm,linkerd-proxy,16581.543755905514,5,100,1000.0,10,18-03-26-133632
29,client12,client12-79bc8d5846-sjv7m,client12,18052.879403149607,5,100,1000.0,10,18-03-26-133632
30,client12,client12-79bc8d5846-sjv7m,linkerd-proxy,18050.74494094488,5,100,1000.0,10,18-03-26-133632
31,client12,client12-79bc8d5846-sjv7m,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
32,client12,client12-79bc8d5846-sjv7m,sidecar,17975.737320472443,5,100,1000.0,10,18-03-26-133632
33,client16,client16-6dc7f87f54-wv265,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
34,client16,client16-6dc7f87f54-wv265,client16,18150.775400787403,5,100,1000.0,10,18-03-26-133632
35,client16,client16-6dc7f87f54-wv265,linkerd-proxy,18147.553915748034,5,100,1000.0,10,18-03-26-133632
36,client16,client16-6dc7f87f54-wv265,sidecar,18100.583567716538,5,100,1000.0,10,18-03-26-133632
37,client2,client2-86cd6d8cf7-j4c9k,sidecar,16632.631640625004,5,100,1000.0,10,18-03-26-133632
38,client2,client2-86cd6d8cf7-j4c9k,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
39,client2,client2-86cd6d8cf7-j4c9k,linkerd-proxy,16668.993524999998,5,100,1000.0,10,18-03-26-133632
40,client2,client2-86cd6d8cf7-j4c9k,client2,16672.192863281252,5,100,1000.0,10,18-03-26-133632
41,client3,client3-58c68898cd-9bbtx,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
42,client3,client3-58c68898cd-9bbtx,linkerd-proxy,17864.984118750002,5,100,1000.0,10,18-03-26-133632
43,client3,client3-58c68898cd-9bbtx,client3,17866.422159375004,5,100,1000.0,10,18-03-26-133632
44,client3,client3-58c68898cd-9bbtx,sidecar,17811.86422734375,5,100,1000.0,10,18-03-26-133632
45,client18,client18-69db77c748-4tndq,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
46,client18,client18-69db77c748-4tndq,sidecar,18597.56612109375,5,100,1000.0,10,18-03-26-133632
47,client18,client18-69db77c748-4tndq,client18,18634.23011484375,5,100,1000.0,10,18-03-26-133632
48,client18,client18-69db77c748-4tndq,linkerd-proxy,18629.37823828125,5,100,1000.0,10,18-03-26-133632
49,client7,client7-544486cc98-rpk27,sidecar,19047.068617968747,5,100,1000.0,10,18-03-26-133632
50,client7,client7-544486cc98-rpk27,linkerd-proxy,19074.466917187496,5,100,1000.0,10,18-03-26-133632
51,client7,client7-544486cc98-rpk27,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
52,client7,client7-544486cc98-rpk27,client7,19081.79911171875,5,100,1000.0,10,18-03-26-133632
53,client11,client11-565c48c7c7-thqps,client11,18331.31108671875,5,100,1000.0,10,18-03-26-133632
54,client11,client11-565c48c7c7-thqps,sidecar,18268.4632734375,5,100,1000.0,10,18-03-26-133632
55,client11,client11-565c48c7c7-thqps,linkerd-proxy,18325.108781250005,5,100,1000.0,10,18-03-26-133632
56,client11,client11-565c48c7c7-thqps,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
57,client19,client19-56fccdb4d9-b6pg6,client19,17888.21330859375,5,100,1000.0,10,18-03-26-133632
58,client19,client19-56fccdb4d9-b6pg6,sidecar,17851.821213281248,5,100,1000.0,10,18-03-26-133632
59,client19,client19-56fccdb4d9-b6pg6,linkerd-proxy,17884.349329687502,5,100,1000.0,10,18-03-26-133632
60,client19,client19-56fccdb4d9-b6pg6,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
61,client1,client1-7b9db886dd-v4gvl,linkerd-proxy,16452.23306953125,5,100,1000.0,10,18-03-26-133632
62,client1,client1-7b9db886dd-v4gvl,client1,16470.32337890625,5,100,1000.0,10,18-03-26-133632
63,client1,client1-7b9db886dd-v4gvl,sidecar,14825.093123437502,5,100,1000.0,10,18-03-26-133632
64,client1,client1-7b9db886dd-v4gvl,linkerd-init,0.0,5,100,1000.0,10,18-03-26-133632
65,client13,client13-7bf86f4f87-7qqzz,client13,16560.47281640625,5,100,1000.0,10,18-03-26-133632
66,client13,client13-7bf86f4f87-7qqzz,sidecar,14776.813024218747,5,100,1000.0,10,18-03-26-133632
