,namespace,pod_name,container_name,joules
0,client5,client5-7d5ff7f8b4-ld6p7,linkerd-init,0.0
1,client13,client13-7bf86f4f87-9hsxd,linkerd-init,0.0
2,server,server-656f98b57f-nfvf8,linkerd-init,0.0
3,server,server-656f98b57f-nfvf8,linkerd-proxy,11764.483417322834
4,client4,client4-744474fb99-bp9bb,linkerd-init,0.0
5,client16,client16-6dc7f87f54-4g278,linkerd-proxy,18036.068554330705
6,client16,client16-6dc7f87f54-4g278,client16,18043.202910236218
7,client16,client16-6dc7f87f54-4g278,linkerd-init,0.0
8,client16,client16-6dc7f87f54-4g278,sidecar,17481.76353385827
9,client3,client3-58c68898cd-wn9g7,client3,17796.980037795274
10,client3,client3-58c68898cd-wn9g7,linkerd-proxy,17791.703272440944
11,client3,client3-58c68898cd-wn9g7,linkerd-init,0.0
12,client3,client3-58c68898cd-wn9g7,sidecar,17755.09212598425
13,client9,client9-d68fb99b4-6vz9x,linkerd-init,0.0
14,client9,client9-d68fb99b4-6vz9x,linkerd-proxy,16513.626604724406
15,client11,client11-565c48c7c7-7wmds,client11,18103.464355905508
16,client11,client11-565c48c7c7-7wmds,linkerd-init,0.0
17,client11,client11-565c48c7c7-7wmds,linkerd-proxy,18098.302368503933
18,client11,client11-565c48c7c7-7wmds,sidecar,18060.458869291335
19,client1,client1-7b9db886dd-ds4z7,linkerd-init,0.0
20,client1,client1-7b9db886dd-ds4z7,sidecar,14896.46565984252
21,client1,client1-7b9db886dd-ds4z7,client1,16055.245748031495
22,client1,client1-7b9db886dd-ds4z7,linkerd-proxy,16025.729691338582
23,client20,client20-65f8864f77-7n28r,sidecar,17190.227533858266
24,client20,client20-65f8864f77-7n28r,linkerd-proxy,17877.99212913386
25,client20,client20-65f8864f77-7n28r,client20,17884.61300472441
26,client20,client20-65f8864f77-7n28r,linkerd-init,0.0
27,client12,client12-79bc8d5846-zgdlv,linkerd-proxy,18043.281442519685
28,client12,client12-79bc8d5846-zgdlv,linkerd-init,0.0
29,client12,client12-79bc8d5846-zgdlv,sidecar,16042.710787401575
30,client12,client12-79bc8d5846-zgdlv,client12,18051.34610393701
31,client10,client10-694b6b97b4-x8fsp,sidecar,16220.719310236218
32,client10,client10-694b6b97b4-x8fsp,linkerd-init,0.0
33,client10,client10-694b6b97b4-x8fsp,client10,18307.31302047244
34,client10,client10-694b6b97b4-x8fsp,linkerd-proxy,18303.301833070866
35,client15,client15-79c969ddf-kkmf8,sidecar,18464.993763779526
36,client15,client15-79c969ddf-kkmf8,client15,18504.217618897637
37,client15,client15-79c969ddf-kkmf8,linkerd-proxy,18497.433637795275
38,client15,client15-79c969ddf-kkmf8,linkerd-init,0.0
39,client6,client6-785d875985-pjdld,client6,18698.053417322837
40,client6,client6-785d875985-pjdld,linkerd-init,0.0
41,client6,client6-785d875985-pjdld,sidecar,17716.644532283462
42,client6,client6-785d875985-pjdld,linkerd-proxy,18691.064044094488
43,client17,client17-69b85b5ccf-n7d9v,sidecar,14585.193892913385
44,client17,client17-69b85b5ccf-n7d9v,linkerd-init,0.0
45,client17,client17-69b85b5ccf-n7d9v,client17,16783.394059842518
46,client17,client17-69b85b5ccf-n7d9v,linkerd-proxy,16717.63535433071
47,client19,client19-56fccdb4d9-ff4wk,sidecar,17541.74709606299
48,client19,client19-56fccdb4d9-ff4wk,client19,17580.397061417323
49,client19,client19-56fccdb4d9-ff4wk,linkerd-proxy,17573.280828346455
50,client19,client19-56fccdb4d9-ff4wk,linkerd-init,0.0
51,client14,client14-856b5b5576-wk2dp,sidecar,17500.777407874015
52,client14,client14-856b5b5576-wk2dp,client14,18037.47005354331
53,client14,client14-856b5b5576-wk2dp,linkerd-proxy,18031.09081574803
54,client14,client14-856b5b5576-wk2dp,linkerd-init,0.0
55,client18,client18-69db77c748-kftkm,sidecar,17956.204242519685
56,client18,client18-69db77c748-kftkm,linkerd-init,0.0
57,client18,client18-69db77c748-kftkm,client18,17990.051656692915
58,client18,client18-69db77c748-kftkm,linkerd-proxy,17986.233779527556
59,client2,client2-86cd6d8cf7-bkb6j,sidecar,18185.856803149603
60,client2,client2-86cd6d8cf7-bkb6j,client2,18222.96330708661
61,client2,client2-86cd6d8cf7-bkb6j,linkerd-init,0.0
62,client2,client2-86cd6d8cf7-bkb6j,linkerd-proxy,18219.384047244093
63,api-gateway,api-gateway-6bf76d45b7-d5q48,linkerd-proxy,9191.360444444443
64,orchestrator,policy-enforcer-cb8dccbd8-bqwzn,linkerd-init,0.0
65,orchestrator,orchestrator-555f7b7c9d-bvhbt,linkerd-init,0.0
66,api-gateway,api-gateway-6bf76d45b7-d5q48,linkerd-init,0.0
67,orchestrator,policy-enforcer-cb8dccbd8-bqwzn,linkerd-proxy,8660.190133333334
68,orchestrator,orchestrator-555f7b7c9d-bvhbt,linkerd-proxy,8656.57637777778
69,orchestrator,policy-enforcer-cb8dccbd8-bqwzn,policy-enforcer,5759.163377777778
70,orchestrator,orchestrator-555f7b7c9d-bvhbt,orchestrator,6040.223444444444
71,orchestrator,policy-enforcer-cb8dccbd8-bqwzn,sidecar,7348.342066666666
72,orchestrator,orchestrator-555f7b7c9d-bvhbt,sidecar,7588.719222222222
73,client7,client7-544486cc98-g2pdz,client7,18090.18635905512
74,client7,client7-544486cc98-g2pdz,sidecar,18058.833855118108
75,client7,client7-544486cc98-g2pdz,linkerd-proxy,18083.67422047244
76,client7,client7-544486cc98-g2pdz,linkerd-init,0.0
77,client5,client5-7d5ff7f8b4-ld6p7,sidecar,14539.596840944881
78,client5,client5-7d5ff7f8b4-ld6p7,linkerd-proxy,16603.083937007876
79,client5,client5-7d5ff7f8b4-ld6p7,client5,16712.548878740155
80,client8,client8-5845965f99-d4pf9,linkerd-proxy,16486.971021731537
81,client8,client8-5845965f99-d4pf9,client8,16494.132575046726
82,client8,client8-5845965f99-d4pf9,sidecar,15861.028306351222
83,client8,client8-5845965f99-d4pf9,linkerd-init,0.0
84,client13,client13-7bf86f4f87-9hsxd,linkerd-proxy,15954.410296062992
85,client13,client13-7bf86f4f87-9hsxd,sidecar,13966.815590551181
86,client13,client13-7bf86f4f87-9hsxd,client13,16058.519940157481
87,server,server-656f98b57f-nfvf8,server,12217.31566614173
88,server,server-656f98b57f-nfvf8,sidecar,9799.400292913388
89,client4,client4-744474fb99-bp9bb,sidecar,17990.821877165356
90,client4,client4-744474fb99-bp9bb,client4,18030.586396850395
91,client4,client4-744474fb99-bp9bb,linkerd-proxy,18026.191609448815
92,client9,client9-d68fb99b4-6vz9x,client9,16533.16604094488
93,client9,client9-d68fb99b4-6vz9x,sidecar,15388.107959055116
94,api-gateway,api-gateway-6bf76d45b7-d5q48,sidecar,7502.9146
95,api-gateway,api-gateway-6bf76d45b7-d5q48,api-gateway,9602.530933333333
