,namespace,pod_name,container_name,joules
0,client16,client16-6dc7f87f54-rdl46,linkerd-init,0.0
1,client3,client3-58c68898cd-s9rwh,linkerd-init,0.0
2,client9,client9-d68fb99b4-zvk72,linkerd-init,0.0
3,client11,client11-565c48c7c7-qntzk,linkerd-init,0.0
4,client1,client1-7b9db886dd-mfntr,linkerd-proxy,16426.30148031496
5,client1,client1-7b9db886dd-mfntr,linkerd-init,0.0
6,client1,client1-7b9db886dd-mfntr,client1,16457.653417322832
7,client1,client1-7b9db886dd-mfntr,sidecar,14641.79905511811
8,client20,client20-65f8864f77-l69mv,linkerd-init,0.0
9,client20,client20-65f8864f77-l69mv,sidecar,16222.391433070865
10,client20,client20-65f8864f77-l69mv,client20,16950.66103937008
11,client20,client20-65f8864f77-l69mv,linkerd-proxy,16945.445291338583
12,client12,client12-79bc8d5846-klw4k,linkerd-init,0.0
13,client10,client10-694b6b97b4-7xm2t,linkerd-init,0.0
14,client15,client15-79c969ddf-hl7wg,linkerd-init,0.0
15,client15,client15-79c969ddf-hl7wg,linkerd-proxy,17731.23628346457
16,client15,client15-79c969ddf-hl7wg,client15,17738.538330708663
17,client15,client15-79c969ddf-hl7wg,sidecar,17699.061921259843
18,client6,client6-785d875985-p44qh,client6,17519.891149606297
19,client6,client6-785d875985-p44qh,linkerd-init,0.0
20,client6,client6-785d875985-p44qh,linkerd-proxy,17512.64957480315
21,client6,client6-785d875985-p44qh,sidecar,16380.55105511811
22,client17,client17-69b85b5ccf-nxl44,linkerd-proxy,16649.76831496063
23,client17,client17-69b85b5ccf-nxl44,sidecar,15072.7105511811
24,client17,client17-69b85b5ccf-nxl44,client17,16725.794267716537
25,client17,client17-69b85b5ccf-nxl44,linkerd-init,0.0
26,client19,client19-56fccdb4d9-92kj4,client19,17475.546708661415
27,client19,client19-56fccdb4d9-92kj4,sidecar,17438.54664566929
28,client19,client19-56fccdb4d9-92kj4,linkerd-proxy,17468.8765984252
29,client19,client19-56fccdb4d9-92kj4,linkerd-init,0.0
30,client14,client14-856b5b5576-l7xlz,linkerd-init,0.0
31,client14,client14-856b5b5576-l7xlz,client14,18099.09618897638
32,client14,client14-856b5b5576-l7xlz,sidecar,18058.162393700786
33,client14,client14-856b5b5576-l7xlz,linkerd-proxy,18091.794141732284
34,client18,client18-69db77c748-q9cx8,sidecar,18753.84642519685
35,client18,client18-69db77c748-q9cx8,linkerd-proxy,18784.001007874016
36,client18,client18-69db77c748-q9cx8,client18,18788.228031496066
37,client18,client18-69db77c748-q9cx8,linkerd-init,0.0
38,client2,client2-86cd6d8cf7-l5m7r,client2,17942.10973228347
39,client2,client2-86cd6d8cf7-l5m7r,sidecar,17899.42828346457
40,client2,client2-86cd6d8cf7-l5m7r,linkerd-init,0.0
41,client2,client2-86cd6d8cf7-l5m7r,linkerd-proxy,17937.88875590551
42,api-gateway,api-gateway-6bf76d45b7-kjvcp,linkerd-init,0.0
43,orchestrator,orchestrator-555f7b7c9d-d2kjx,linkerd-init,0.0
44,api-gateway,api-gateway-6bf76d45b7-kjvcp,linkerd-proxy,9274.008188976379
45,orchestrator,policy-enforcer-cb8dccbd8-2nbrg,linkerd-init,0.0
46,orchestrator,policy-enforcer-cb8dccbd8-2nbrg,linkerd-proxy,8734.48818897638
47,orchestrator,orchestrator-555f7b7c9d-d2kjx,linkerd-proxy,8734.45492913386
48,client7,client7-544486cc98-qsx6x,client7,17334.63080314961
49,client7,client7-544486cc98-qsx6x,sidecar,17299.042771653545
50,client7,client7-544486cc98-qsx6x,linkerd-proxy,17327.585763779527
51,client7,client7-544486cc98-qsx6x,linkerd-init,0.0
52,client5,client5-7d5ff7f8b4-rmxw2,sidecar,15226.395212598425
53,client5,client5-7d5ff7f8b4-rmxw2,linkerd-init,0.0
54,client5,client5-7d5ff7f8b4-rmxw2,client5,16438.55017322835
55,client5,client5-7d5ff7f8b4-rmxw2,linkerd-proxy,16336.403149606296
56,client8,client8-5845965f99-c7rwv,linkerd-proxy,17247.71074015748
57,client8,client8-5845965f99-c7rwv,linkerd-init,0.0
58,client8,client8-5845965f99-c7rwv,sidecar,16615.870488188975
59,client8,client8-5845965f99-c7rwv,client8,17255.850330708658
60,client13,client13-7bf86f4f87-zzfsc,sidecar,13965.575055118112
61,client13,client13-7bf86f4f87-zzfsc,client13,16169.995086614173
62,client13,client13-7bf86f4f87-zzfsc,linkerd-proxy,16060.406929133858
63,client13,client13-7bf86f4f87-zzfsc,linkerd-init,0.0
64,server,server-656f98b57f-5lxrf,server,12360.037867877953
65,server,server-656f98b57f-5lxrf,linkerd-init,0.0
66,server,server-656f98b57f-5lxrf,sidecar,10287.65769842677
67,server,server-656f98b57f-5lxrf,linkerd-proxy,11911.15388976378
68,client4,client4-744474fb99-6b8nh,linkerd-init,0.0
69,client4,client4-744474fb99-6b8nh,client4,17610.950551181104
70,client4,client4-744474fb99-6b8nh,sidecar,17567.192692913388
71,client4,client4-744474fb99-6b8nh,linkerd-proxy,17605.06053543307
72,client16,client16-6dc7f87f54-rdl46,client16,17686.725543307086
73,client16,client16-6dc7f87f54-rdl46,sidecar,17647.599874015745
74,client16,client16-6dc7f87f54-rdl46,linkerd-proxy,17679.332787401574
75,client3,client3-58c68898cd-s9rwh,sidecar,17906.911748031493
76,client3,client3-58c68898cd-s9rwh,client3,17946.363968503934
77,client3,client3-58c68898cd-s9rwh,linkerd-proxy,17942.653984251967
78,client9,client9-d68fb99b4-zvk72,client9,17070.92862992126
79,client9,client9-d68fb99b4-zvk72,sidecar,14907.771968503937
80,client9,client9-d68fb99b4-zvk72,linkerd-proxy,17046.20749606299
81,client11,client11-565c48c7c7-qntzk,sidecar,16097.94822047244
82,client11,client11-565c48c7c7-qntzk,linkerd-proxy,18035.38242519685
83,client11,client11-565c48c7c7-qntzk,client11,18039.65782677165
84,client12,client12-79bc8d5846-klw4k,sidecar,16397.09329133858
85,client12,client12-79bc8d5846-klw4k,client12,18165.29537007874
86,client12,client12-79bc8d5846-klw4k,linkerd-proxy,18160.73272440945
87,client10,client10-694b6b97b4-7xm2t,client10,18003.144566929135
88,client10,client10-694b6b97b4-7xm2t,sidecar,16091.855622047244
89,client10,client10-694b6b97b4-7xm2t,linkerd-proxy,17998.742173228344
90,orchestrator,policy-enforcer-cb8dccbd8-2nbrg,policy-enforcer,5658.593763779529
