,namespace,pod_name,container_name,joules
0,orchestrator,orchestrator-555f7b7c9d-mzdll,linkerd-init,0.0
1,orchestrator,policy-enforcer-cb8dccbd8-rmsv4,linkerd-init,0.0
2,client7,client7-544486cc98-bqqc5,linkerd-init,0.0
3,client5,client5-7d5ff7f8b4-5jghk,linkerd-init,0.0
4,client5,client5-7d5ff7f8b4-5jghk,linkerd-proxy,17903.251717985615
5,client8,client8-5845965f99-fpc5r,linkerd-init,0.0
6,client8,client8-5845965f99-fpc5r,linkerd-proxy,19121.253248920864
7,client8,client8-5845965f99-fpc5r,sidecar,18677.950923741006
8,client8,client8-5845965f99-fpc5r,client8,19130.03663884892
9,client13,client13-7bf86f4f87-dpmwn,client13,17678.16154820144
10,client13,client13-7bf86f4f87-dpmwn,sidecar,15663.93578705036
11,client13,client13-7bf86f4f87-dpmwn,linkerd-init,0.0
12,client13,client13-7bf86f4f87-dpmwn,linkerd-proxy,17570.58458705036
13,server,server-656f98b57f-qqxbp,linkerd-proxy,13260.628126618705
14,server,server-656f98b57f-qqxbp,linkerd-init,0.0
15,client4,client4-744474fb99-zkdq9,linkerd-init,0.0
16,client4,client4-744474fb99-zkdq9,linkerd-proxy,20073.134319424462
17,client4,client4-744474fb99-zkdq9,sidecar,20032.66691223022
18,client4,client4-744474fb99-zkdq9,client4,20079.136402877702
19,client16,client16-6dc7f87f54-52xfn,client16,19565.512776978416
20,client16,client16-6dc7f87f54-52xfn,linkerd-proxy,19559.005001438847
21,client16,client16-6dc7f87f54-52xfn,sidecar,19446.73834820144
22,client16,client16-6dc7f87f54-52xfn,linkerd-init,0.0
23,client3,client3-58c68898cd-4dp6z,linkerd-init,0.0
24,client3,client3-58c68898cd-4dp6z,linkerd-proxy,19574.7446676259
25,client3,client3-58c68898cd-4dp6z,sidecar,19532.492287769783
26,client3,client3-58c68898cd-4dp6z,client3,19578.444046043165
27,client9,client9-d68fb99b4-fkmdd,linkerd-proxy,17725.16683165468
28,client9,client9-d68fb99b4-fkmdd,client9,17737.09574676259
29,client9,client9-d68fb99b4-fkmdd,sidecar,16430.251942446044
30,client9,client9-d68fb99b4-fkmdd,linkerd-init,0.0
31,client11,client11-565c48c7c7-s9m6n,client11,19835.799176978417
32,client11,client11-565c48c7c7-s9m6n,sidecar,17961.565841726617
