,namespace,pod_name,container_name,joules
0,client4,client4-744474fb99-tg4lh,linkerd-init,0.0
1,client6,client6-785d875985-2fzmc,linkerd-init,0.0
2,client13,client13-7bf86f4f87-v4rcp,linkerd-init,0.0
3,client13,client13-7bf86f4f87-v4rcp,linkerd-proxy,2017.6242153846156
4,client13,client13-7bf86f4f87-v4rcp,sidecar,1798.5067692307691
5,client13,client13-7bf86f4f87-v4rcp,client13,2018.2929230769234
6,client19,client19-56fccdb4d9-m4bhl,sidecar,1617.334523076923
7,client19,client19-56fccdb4d9-m4bhl,client19,1627.2288615384616
8,client19,client19-56fccdb4d9-m4bhl,linkerd-init,0.0
9,client19,client19-56fccdb4d9-m4bhl,linkerd-proxy,1621.4069846153845
10,client1,client1-7b9db886dd-f726k,linkerd-proxy,2107.595507692308
11,client1,client1-7b9db886dd-f726k,linkerd-init,0.0
12,client1,client1-7b9db886dd-f726k,sidecar,2103.9192
13,client1,client1-7b9db886dd-f726k,client1,2108.036030769231
14,client17,client17-69b85b5ccf-zvw7b,linkerd-init,0.0
15,client17,client17-69b85b5ccf-zvw7b,sidecar,1592.4719076923077
16,client17,client17-69b85b5ccf-zvw7b,linkerd-proxy,1596.6648
17,client17,client17-69b85b5ccf-zvw7b,client17,1602.1887692307691
18,client10,client10-694b6b97b4-6xdnb,client10,2042.670646153846
19,client10,client10-694b6b97b4-6xdnb,linkerd-init,0.0
20,client10,client10-694b6b97b4-6xdnb,linkerd-proxy,2042.0463076923081
21,client10,client10-694b6b97b4-6xdnb,sidecar,1770.7728307692305
22,client8,client8-5845965f99-gjq8v,client8,1667.8790000000001
23,client8,client8-5845965f99-gjq8v,linkerd-init,0.0
24,client8,client8-5845965f99-gjq8v,sidecar,1657.9669666666666
25,client8,client8-5845965f99-gjq8v,linkerd-proxy,1661.1187666666667
26,client2,client2-86cd6d8cf7-8v4kv,linkerd-proxy,2173.0493666666666
27,client2,client2-86cd6d8cf7-8v4kv,client2,2173.5231666666664
28,client2,client2-86cd6d8cf7-8v4kv,sidecar,2169.0529666666666
29,client2,client2-86cd6d8cf7-8v4kv,linkerd-init,0.0
30,client20,client20-65f8864f77-jc5kk,linkerd-proxy,1894.2317999999998
31,client20,client20-65f8864f77-jc5kk,sidecar,1665.8155666666669
32,client20,client20-65f8864f77-jc5kk,linkerd-init,0.0
33,client20,client20-65f8864f77-jc5kk,client20,1894.9527999999998
34,client7,client7-544486cc98-qx6wt,sidecar,1632.8589999999997
35,client7,client7-544486cc98-qx6wt,linkerd-init,0.0
36,client7,client7-544486cc98-qx6wt,linkerd-proxy,1636.0657333333331
37,client7,client7-544486cc98-qx6wt,client7,1641.9573333333333
38,client9,client9-d68fb99b4-snf9x,sidecar,1508.5792
39,client9,client9-d68fb99b4-snf9x,linkerd-init,0.0
40,client9,client9-d68fb99b4-snf9x,linkerd-proxy,1854.9681999999998
41,client9,client9-d68fb99b4-snf9x,client9,1855.5552999999998
42,client14,client14-856b5b5576-tcv6x,client14,1656.2463384615382
43,client14,client14-856b5b5576-tcv6x,linkerd-proxy,1649.4895384615386
44,client14,client14-856b5b5576-tcv6x,sidecar,1645.7751999999998
45,client14,client14-856b5b5576-tcv6x,linkerd-init,0.0
46,client3,client3-58c68898cd-kss5h,linkerd-proxy,1944.7826153846154
47,client3,client3-58c68898cd-kss5h,sidecar,1941.0872923076922
