,namespace,pod_name,container_name,joules
0,client5,client5-7d5ff7f8b4-4qdrl,linkerd-init,0.0
1,server,server-656f98b57f-6752w,linkerd-init,0.0
2,client18,client18-69db77c748-7tfb5,linkerd-init,0.0
3,client4,client4-744474fb99-bddjd,sidecar,1220.0066666666664
4,client4,client4-744474fb99-bddjd,client4,1229.97
5,client4,client4-744474fb99-bddjd,linkerd-init,0.0
6,client4,client4-744474fb99-bddjd,linkerd-proxy,1223.4899999999998
7,client6,client6-785d875985-mv2cm,linkerd-init,0.0
8,client6,client6-785d875985-mv2cm,client6,1225.9566666666667
9,client6,client6-785d875985-mv2cm,sidecar,1219.4666666666667
10,client6,client6-785d875985-mv2cm,linkerd-proxy,1221.88
11,client13,client13-7bf86f4f87-7tckp,linkerd-proxy,1193.5566666666666
12,client13,client13-7bf86f4f87-7tckp,linkerd-init,0.0
13,client13,client13-7bf86f4f87-7tckp,client13,1197.9166666666667
14,client13,client13-7bf86f4f87-7tckp,sidecar,1190.8566666666666
15,client19,client19-56fccdb4d9-6gv6h,linkerd-init,0.0
16,client19,client19-56fccdb4d9-6gv6h,linkerd-proxy,1181.7233333333334
17,client19,client19-56fccdb4d9-6gv6h,sidecar,1178.8633333333332
18,client19,client19-56fccdb4d9-6gv6h,client19,1185.3833333333334
19,client1,client1-7b9db886dd-h92n5,linkerd-init,0.0
20,client1,client1-7b9db886dd-h92n5,sidecar,1185.5766666666666
21,client1,client1-7b9db886dd-h92n5,client1,1192.8033333333333
22,client1,client1-7b9db886dd-h92n5,linkerd-proxy,1188.7300000000002
23,client17,client17-69b85b5ccf-grdsg,sidecar,1231.9266666666667
24,client17,client17-69b85b5ccf-grdsg,linkerd-proxy,1440.1166666666668
25,client17,client17-69b85b5ccf-grdsg,client17,1440.5500000000004
26,client17,client17-69b85b5ccf-grdsg,linkerd-init,0.0
27,client10,client10-694b6b97b4-zcrft,linkerd-proxy,1248.5966666666668
28,client10,client10-694b6b97b4-zcrft,linkerd-init,0.0
29,client10,client10-694b6b97b4-zcrft,client10,1255.736666666667
30,client10,client10-694b6b97b4-zcrft,sidecar,1244.6133333333335
31,client8,client8-5845965f99-mmkfx,linkerd-init,0.0
32,client8,client8-5845965f99-mmkfx,client8,1332.7200000000003
33,client8,client8-5845965f99-mmkfx,linkerd-proxy,1332.0900000000001
34,client8,client8-5845965f99-mmkfx,sidecar,1203.4766666666667
