Round,ClientID,ClientAccuracy,ClientTrainingTime,clients,rounds,timestamp,experiment
0,client5,0.5138811461701416,778.842736966908,3,10,12-01-26-152535,C3_R10_12-01-26-152535
0,client2,0.5379375591296122,507.492336910218,3,10,12-01-26-152535,C3_R10_12-01-26-152535
0,client10,0.5794625978935998,621.0569790564477,3,10,12-01-26-152535,C3_R10_12-01-26-152535
1,client5,0.5874679451443863,870.248518884182,3,10,12-01-26-152535,C3_R10_12-01-26-152535
1,client2,0.578240302743614,517.2230820171535,3,10,12-01-26-152535,C3_R10_12-01-26-152535
1,client10,0.5379422090197138,646.467437967658,3,10,12-01-26-152535,C3_R10_12-01-26-152535
2,client5,0.5196231463931319,825.8455577306449,3,10,12-01-26-152535,C3_R10_12-01-26-152535
2,client2,0.5473036896877956,514.9528211914003,3,10,12-01-26-152535,C3_R10_12-01-26-152535
2,client10,0.5426681069403186,622.9807790368795,3,10,12-01-26-152535,C3_R10_12-01-26-152535
3,client5,0.5685137696510202,793.6971178278327,3,10,12-01-26-152535,C3_R10_12-01-26-152535
3,client2,0.6023651844843898,497.882426250726,3,10,12-01-26-152535,C3_R10_12-01-26-152535
3,client10,0.5997839589522009,638.2090402767062,3,10,12-01-26-152535,C3_R10_12-01-26-152535
4,client5,0.598282974690601,814.2660381272435,3,10,12-01-26-152535,C3_R10_12-01-26-152535
4,client2,0.5468306527909177,488.30090230330825,3,10,12-01-26-152535,C3_R10_12-01-26-152535
4,client10,0.5852687010532001,635.6833167374134,3,10,12-01-26-152535,C3_R10_12-01-26-152535
5,client5,0.5947708774668302,760.5758481658995,3,10,12-01-26-152535,C3_R10_12-01-26-152535
5,client2,0.6007568590350048,519.1246960312128,3,10,12-01-26-152535,C3_R10_12-01-26-152535
5,client10,0.5752768025924926,640.7802971079946,3,10,12-01-26-152535,C3_R10_12-01-26-152535
6,client5,0.5993979261902107,759.537504054606,3,10,12-01-26-152535,C3_R10_12-01-26-152535
6,client2,0.5810785241248817,502.8462838381529,3,10,12-01-26-152535,C3_R10_12-01-26-152535
6,client10,0.5867539832568188,726.759891025722,3,10,12-01-26-152535,C3_R10_12-01-26-152535
7,client5,0.5457130114840004,767.511289101094,3,10,12-01-26-152535,C3_R10_12-01-26-152535
7,client2,0.5917691579943235,514.7477011196315,3,10,12-01-26-152535,C3_R10_12-01-26-152535
7,client10,0.5914798811774237,631.9294730201364,3,10,12-01-26-152535,C3_R10_12-01-26-152535
8,client5,0.5402497491359126,786.2155521288514,3,10,12-01-26-152535,C3_R10_12-01-26-152535
8,client2,0.5433301797540208,507.6185180805624,3,10,12-01-26-152535,C3_R10_12-01-26-152535
8,client10,0.570955981636511,655.1202666014433,3,10,12-01-26-152535,C3_R10_12-01-26-152535
9,client5,0.5267588359906344,752.7136681601405,3,10,12-01-26-152535,C3_R10_12-01-26-152535
9,client2,0.5231788079470199,519.5439918898046,3,10,12-01-26-152535,C3_R10_12-01-26-152535
9,client10,0.5813529570618418,630.4110251367092,3,10,12-01-26-152535,C3_R10_12-01-26-152535
0,client8,0.5083863504916136,84.04296729713678,3,10,13-01-26-165414,C3_R10_13-01-26-165414
0,client7,0.5050565139797739,82.6077382080257,3,10,13-01-26-165414,C3_R10_13-01-26-165414
0,client16,0.5166569257744009,97.58854378014804,3,10,13-01-26-165414,C3_R10_13-01-26-165414
