Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
0,client5,0.5436338844383842,15045.557545963677,5,15,1000.0,10,02-03-26-195944
0,client17,0.6210278540604158,14451.8218471203,5,15,1000.0,10,02-03-26-195944
0,client13,0.604824216556217,18244.54770889133,5,15,1000.0,10,02-03-26-195944
0,client1,0.5766398740936428,14149.828247958794,5,15,1000.0,10,02-03-26-195944
0,client9,0.6004362482649217,14389.12609498948,5,15,1000.0,10,02-03-26-195944
1,client17,0.6304713332959704,13184.084344888106,5,15,1000.0,10,02-03-26-195944
1,client5,0.5046588262030567,14616.44392204471,5,15,1000.0,10,02-03-26-195944
1,client13,0.3493204537796248,17033.33478793502,5,15,1000.0,10,02-03-26-195944
1,client1,0.6287729750997696,13725.5050400272,5,15,1000.0,10,02-03-26-195944
1,client9,0.6408033766748817,14455.646720947698,5,15,1000.0,10,02-03-26-195944
2,client5,0.6429464234986648,14270.971087971702,5,15,1000.0,10,02-03-26-195944
2,client17,0.6983130639466457,13500.832417048514,5,15,1000.0,10,02-03-26-195944
2,client13,0.6744075030888464,17024.486331036314,5,15,1000.0,10,02-03-26-195944
2,client1,0.7137878702714856,15237.054849974813,5,15,1000.0,10,02-03-26-195944
2,client9,0.7106030990623495,14419.3904211279,5,15,1000.0,10,02-03-26-195944
3,client5,0.3096699051190273,13738.686355995014,5,15,1000.0,10,02-03-26-195944
3,client17,0.698509219301687,13512.189876986668,5,15,1000.0,10,02-03-26-195944
3,client13,0.6911715152195889,16652.975626988336,5,15,1000.0,10,02-03-26-195944
3,client1,0.7186498791523804,13594.83784600161,5,15,1000.0,10,02-03-26-195944
3,client9,0.7154188266621342,13420.032879104838,5,15,1000.0,10,02-03-26-195944
4,client5,0.7049883529344924,14356.036019977182,5,15,1000.0,10,02-03-26-195944
4,client17,0.6398867903379477,12986.725724069402,5,15,1000.0,10,02-03-26-195944
4,client13,0.6137537908570145,17219.918445916846,5,15,1000.0,10,02-03-26-195944
4,client1,0.4174020572199426,13266.626722877843,5,15,1000.0,10,02-03-26-195944
4,client9,0.4258519588680207,13601.922672009096,5,15,1000.0,10,02-03-26-195944
5,client5,0.7693596954718482,14868.363206041977,5,15,1000.0,10,02-03-26-195944
5,client17,0.6774085075379701,13580.136514035985,5,15,1000.0,10,02-03-26-195944
5,client13,0.6728349994383915,16488.555419957265,5,15,1000.0,10,02-03-26-195944
5,client1,0.7283457928165926,14637.83850404434,5,15,1000.0,10,02-03-26-195944
5,client9,0.7037477691850089,13393.521280959249,5,15,1000.0,10,02-03-26-195944
6,client5,0.7529685813306062,14631.4683270175,5,15,1000.0,10,02-03-26-195944
6,client17,0.7523958975508602,13511.908325133843,5,15,1000.0,10,02-03-26-195944
6,client13,0.7645456587667079,17297.32716199942,5,15,1000.0,10,02-03-26-195944
6,client1,0.7692372547917486,13582.221786957234,5,15,1000.0,10,02-03-26-195944
6,client9,0.7921588623551741,13797.53905092366,5,15,1000.0,10,02-03-26-195944
7,client5,0.70692006136015,14108.851071912795,5,15,1000.0,10,02-03-26-195944
7,client17,0.7578602252984363,13606.296124169605,5,15,1000.0,10,02-03-26-195944
7,client13,0.7753847017859149,16857.554777991027,5,15,1000.0,10,02-03-26-195944
7,client1,0.7253667584733854,13586.023743962867,5,15,1000.0,10,02-03-26-195944
7,client9,0.752244978895782,13701.983697945252,5,15,1000.0,10,02-03-26-195944
8,client5,0.7290210783478211,14338.842398952693,5,15,1000.0,10,02-03-26-195944
8,client17,0.7508826990976853,13210.129086161032,5,15,1000.0,10,02-03-26-195944
8,client13,0.7703863866112546,17397.506258217618,5,15,1000.0,10,02-03-26-195944
8,client1,0.7357933786746108,13402.546423953028,5,15,1000.0,10,02-03-26-195944
8,client9,0.6491034248321578,14097.367577953264,5,15,1000.0,10,02-03-26-195944
9,client5,0.7630816430884609,14465.788290137423,5,15,1000.0,10,02-03-26-195944
9,client17,0.6341422406545985,13349.820282077417,5,15,1000.0,10,02-03-26-195944
9,client13,0.6840390879478827,17103.924262104556,5,15,1000.0,10,02-03-26-195944
9,client1,0.5845090214153223,13405.164686962962,5,15,1000.0,10,02-03-26-195944
9,client9,0.7202912098807399,13557.3812329676,5,15,1000.0,10,02-03-26-195944
10,client5,0.5847679109141526,14176.012412877752,5,15,1000.0,10,02-03-26-195944
10,client17,0.726335257523959,12966.872235992923,5,15,1000.0,10,02-03-26-195944
10,client13,0.7284061552285747,16980.819360818714,5,15,1000.0,10,02-03-26-195944
10,client1,0.7785959192850318,13865.071964915842,5,15,1000.0,10,02-03-26-195944
10,client9,0.7842837313390556,13646.907834103333,5,15,1000.0,10,02-03-26-195944
11,client5,0.6238850065337197,12572.94298405759,5,15,1000.0,10,02-03-26-195944
11,client17,0.7747856302191336,13115.115924971178,5,15,1000.0,10,02-03-26-195944
11,client13,0.765725036504549,17205.85256908089,5,15,1000.0,10,02-03-26-195944
11,client1,0.8411837445899613,13416.218261001632,5,15,1000.0,10,02-03-26-195944
11,client9,0.7801761989745333,13523.32627098076,5,15,1000.0,10,02-03-26-195944
12,client5,0.7229418783023692,14391.147060785444,5,15,1000.0,10,02-03-26-195944
12,client17,0.7818472230006165,13305.204295087606,5,15,1000.0,10,02-03-26-195944
12,client13,0.7898741997079636,16844.791029114276,5,15,1000.0,10,02-03-26-195944
12,client1,0.8096228430105109,13685.805363114923,5,15,1000.0,10,02-03-26-195944
12,client9,0.7475425625336393,13339.332357048988,5,15,1000.0,10,02-03-26-195944
13,client5,0.801886256462701,13974.433467024935,5,15,1000.0,10,02-03-26-195944
13,client17,0.7838367987446058,13003.259088145567,5,15,1000.0,10,02-03-26-195944
13,client13,0.7720992923733573,16463.079824810848,5,15,1000.0,10,02-03-26-195944
13,client1,0.8421111798100163,13564.972672145814,5,15,1000.0,10,02-03-26-195944
