Unnamed: 0,namespace,pod_name,container_name,joules,K,Z,sigma_ed,sigma_iid,timestamp
0,client13,client13-7bf86f4f87-w6qhq,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
1,server,server-656f98b57f-qrr75,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
2,server,server-656f98b57f-qrr75,linkerd-proxy,12329.94137518248,5,15,1000.0,10,02-03-26-195944
3,client4,client4-744474fb99-xxrtz,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
4,client16,client16-6dc7f87f54-6n2t8,sidecar,19677.597547826088,5,15,1000.0,10,02-03-26-195944
5,client16,client16-6dc7f87f54-6n2t8,client16,19777.02964347826,5,15,1000.0,10,02-03-26-195944
6,client16,client16-6dc7f87f54-6n2t8,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
7,client16,client16-6dc7f87f54-6n2t8,linkerd-proxy,19771.00994782609,5,15,1000.0,10,02-03-26-195944
8,client3,client3-58c68898cd-hn2tv,sidecar,19587.118052173908,5,15,1000.0,10,02-03-26-195944
9,client3,client3-58c68898cd-hn2tv,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
10,client3,client3-58c68898cd-hn2tv,client3,19632.143565217382,5,15,1000.0,10,02-03-26-195944
11,client3,client3-58c68898cd-hn2tv,linkerd-proxy,19632.282365217387,5,15,1000.0,10,02-03-26-195944
12,client9,client9-d68fb99b4-mhj8j,sidecar,16822.412147826086,5,15,1000.0,10,02-03-26-195944
13,client9,client9-d68fb99b4-mhj8j,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
14,client9,client9-d68fb99b4-mhj8j,client9,17754.80416521739,5,15,1000.0,10,02-03-26-195944
15,client9,client9-d68fb99b4-mhj8j,linkerd-proxy,17730.5896,5,15,1000.0,10,02-03-26-195944
16,client11,client11-565c48c7c7-5fqp9,linkerd-proxy,19461.40146086956,5,15,1000.0,10,02-03-26-195944
17,client11,client11-565c48c7c7-5fqp9,sidecar,19297.62953043478,5,15,1000.0,10,02-03-26-195944
18,client11,client11-565c48c7c7-5fqp9,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
19,client11,client11-565c48c7c7-5fqp9,client11,19466.380156521736,5,15,1000.0,10,02-03-26-195944
20,client1,client1-7b9db886dd-4tzkk,client1,18251.116756521737,5,15,1000.0,10,02-03-26-195944
21,client1,client1-7b9db886dd-4tzkk,linkerd-proxy,18215.071,5,15,1000.0,10,02-03-26-195944
22,client1,client1-7b9db886dd-4tzkk,sidecar,16963.215695652176,5,15,1000.0,10,02-03-26-195944
23,client1,client1-7b9db886dd-4tzkk,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
24,client20,client20-65f8864f77-hbcbh,sidecar,19299.943869565213,5,15,1000.0,10,02-03-26-195944
25,client20,client20-65f8864f77-hbcbh,client20,19675.86858260869,5,15,1000.0,10,02-03-26-195944
26,client20,client20-65f8864f77-hbcbh,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
27,client20,client20-65f8864f77-hbcbh,linkerd-proxy,19669.948460869564,5,15,1000.0,10,02-03-26-195944
28,client12,client12-79bc8d5846-27mgn,sidecar,19643.38636521739,5,15,1000.0,10,02-03-26-195944
29,client12,client12-79bc8d5846-27mgn,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
30,client12,client12-79bc8d5846-27mgn,linkerd-proxy,19766.57136521739,5,15,1000.0,10,02-03-26-195944
31,client12,client12-79bc8d5846-27mgn,client12,19774.980834782607,5,15,1000.0,10,02-03-26-195944
32,client10,client10-694b6b97b4-ccqdp,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
33,client10,client10-694b6b97b4-ccqdp,client10,19538.8066,5,15,1000.0,10,02-03-26-195944
34,client10,client10-694b6b97b4-ccqdp,linkerd-proxy,19534.79045217391,5,15,1000.0,10,02-03-26-195944
35,client10,client10-694b6b97b4-ccqdp,sidecar,19499.161095652173,5,15,1000.0,10,02-03-26-195944
36,client15,client15-79c969ddf-x59jq,sidecar,19769.480130434786,5,15,1000.0,10,02-03-26-195944
37,client15,client15-79c969ddf-x59jq,linkerd-proxy,19813.760347826086,5,15,1000.0,10,02-03-26-195944
38,client15,client15-79c969ddf-x59jq,client15,19819.267086956523,5,15,1000.0,10,02-03-26-195944
39,client15,client15-79c969ddf-x59jq,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
40,client6,client6-785d875985-6dwlr,sidecar,18037.26216521739,5,15,1000.0,10,02-03-26-195944
41,client6,client6-785d875985-6dwlr,client6,19449.009034782604,5,15,1000.0,10,02-03-26-195944
42,client6,client6-785d875985-6dwlr,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
43,client6,client6-785d875985-6dwlr,linkerd-proxy,19442.416034782604,5,15,1000.0,10,02-03-26-195944
44,client17,client17-69b85b5ccf-rw86m,sidecar,15045.932069565217,5,15,1000.0,10,02-03-26-195944
45,client17,client17-69b85b5ccf-rw86m,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
46,client17,client17-69b85b5ccf-rw86m,client17,17860.304234782612,5,15,1000.0,10,02-03-26-195944
47,client17,client17-69b85b5ccf-rw86m,linkerd-proxy,17782.817626086955,5,15,1000.0,10,02-03-26-195944
48,client19,client19-56fccdb4d9-28lmb,sidecar,18958.978652173908,5,15,1000.0,10,02-03-26-195944
49,client19,client19-56fccdb4d9-28lmb,linkerd-proxy,18994.028669565218,5,15,1000.0,10,02-03-26-195944
50,client19,client19-56fccdb4d9-28lmb,client19,19001.825608695646,5,15,1000.0,10,02-03-26-195944
51,client19,client19-56fccdb4d9-28lmb,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
52,client14,client14-856b5b5576-8t8jm,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
53,client14,client14-856b5b5576-8t8jm,linkerd-proxy,19852.95022608696,5,15,1000.0,10,02-03-26-195944
54,client14,client14-856b5b5576-8t8jm,sidecar,19769.59780869565,5,15,1000.0,10,02-03-26-195944
55,client14,client14-856b5b5576-8t8jm,client14,19859.64883478261,5,15,1000.0,10,02-03-26-195944
56,client18,client18-69db77c748-bfp6s,sidecar,19508.02920869565,5,15,1000.0,10,02-03-26-195944
57,client18,client18-69db77c748-bfp6s,client18,19544.93492173913,5,15,1000.0,10,02-03-26-195944
58,client18,client18-69db77c748-bfp6s,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
59,client18,client18-69db77c748-bfp6s,linkerd-proxy,19539.657504347822,5,15,1000.0,10,02-03-26-195944
60,client2,client2-86cd6d8cf7-7vdw8,sidecar,20612.88022608696,5,15,1000.0,10,02-03-26-195944
61,client2,client2-86cd6d8cf7-7vdw8,client2,20656.75611304348,5,15,1000.0,10,02-03-26-195944
62,client2,client2-86cd6d8cf7-7vdw8,linkerd-proxy,20652.317530434782,5,15,1000.0,10,02-03-26-195944
63,client2,client2-86cd6d8cf7-7vdw8,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
64,orchestrator,orchestrator-555f7b7c9d-rbg98,orchestrator,6409.684426086956,5,15,1000.0,10,02-03-26-195944
65,orchestrator,orchestrator-555f7b7c9d-rbg98,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
66,api-gateway,api-gateway-6bf76d45b7-j77h2,linkerd-proxy,9763.146739130432,5,15,1000.0,10,02-03-26-195944
67,orchestrator,orchestrator-555f7b7c9d-rbg98,sidecar,7899.252834782607,5,15,1000.0,10,02-03-26-195944
68,orchestrator,policy-enforcer-cb8dccbd8-kwjgb,linkerd-proxy,9272.16889565217,5,15,1000.0,10,02-03-26-195944
69,orchestrator,policy-enforcer-cb8dccbd8-kwjgb,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
70,api-gateway,api-gateway-6bf76d45b7-j77h2,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
71,orchestrator,orchestrator-555f7b7c9d-rbg98,linkerd-proxy,9272.959452173907,5,15,1000.0,10,02-03-26-195944
72,orchestrator,policy-enforcer-cb8dccbd8-kwjgb,policy-enforcer,6289.643547826086,5,15,1000.0,10,02-03-26-195944
73,orchestrator,policy-enforcer-cb8dccbd8-kwjgb,sidecar,8266.958173913044,5,15,1000.0,10,02-03-26-195944
74,client7,client7-544486cc98-pfgnb,client7,19506.408869565214,5,15,1000.0,10,02-03-26-195944
75,client7,client7-544486cc98-pfgnb,sidecar,19472.81625217391,5,15,1000.0,10,02-03-26-195944
76,client7,client7-544486cc98-pfgnb,linkerd-proxy,19499.53826956521,5,15,1000.0,10,02-03-26-195944
77,client7,client7-544486cc98-pfgnb,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
78,client5,client5-7d5ff7f8b4-khghn,client5,17865.874339130434,5,15,1000.0,10,02-03-26-195944
79,client5,client5-7d5ff7f8b4-khghn,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
80,client5,client5-7d5ff7f8b4-khghn,sidecar,15671.54893043478,5,15,1000.0,10,02-03-26-195944
81,client5,client5-7d5ff7f8b4-khghn,linkerd-proxy,17760.02123478261,5,15,1000.0,10,02-03-26-195944
82,client8,client8-5845965f99-r9vvl,client8,19113.78289565217,5,15,1000.0,10,02-03-26-195944
83,client8,client8-5845965f99-r9vvl,sidecar,18798.83966086956,5,15,1000.0,10,02-03-26-195944
84,client8,client8-5845965f99-r9vvl,linkerd-proxy,19105.551452173917,5,15,1000.0,10,02-03-26-195944
85,client8,client8-5845965f99-r9vvl,linkerd-init,0.0,5,15,1000.0,10,02-03-26-195944
86,client13,client13-7bf86f4f87-w6qhq,linkerd-proxy,17236.53758540146,5,15,1000.0,10,02-03-26-195944
87,client13,client13-7bf86f4f87-w6qhq,sidecar,15720.115164963505,5,15,1000.0,10,02-03-26-195944
88,client13,client13-7bf86f4f87-w6qhq,client13,17341.291059854015,5,15,1000.0,10,02-03-26-195944
89,server,server-656f98b57f-qrr75,server,12752.88311421022,5,15,1000.0,10,02-03-26-195944
90,server,server-656f98b57f-qrr75,sidecar,10596.63072791898,5,15,1000.0,10,02-03-26-195944
91,client4,client4-744474fb99-xxrtz,client4,19454.265748905116,5,15,1000.0,10,02-03-26-195944
92,client4,client4-744474fb99-xxrtz,sidecar,19407.28549489051,5,15,1000.0,10,02-03-26-195944
93,client4,client4-744474fb99-xxrtz,linkerd-proxy,19447.94072408759,5,15,1000.0,10,02-03-26-195944
94,api-gateway,api-gateway-6bf76d45b7-j77h2,sidecar,7825.181913043478,5,15,1000.0,10,02-03-26-195944
95,api-gateway,api-gateway-6bf76d45b7-j77h2,api-gateway,9998.473367643475,5,15,1000.0,10,02-03-26-195944
96,client1,maurits-dijk-1a574906client11-l25kc,sidecar,13821.369069565217,5,15,1000.0,10,02-03-26-195944
97,client1,maurits-dijk-1a574906client11-l25kc,hfl-train,30365.260913043472,5,15,1000.0,10,02-03-26-195944
98,client1,maurits-dijk-1a574906client11-l25kc,hfl-train-model,18081.62686956521,5,15,1000.0,10,02-03-26-195944
99,client17,maurits-dijk-1a574906client171-bgjdf,hfl-train-model,17714.036191304345,5,15,1000.0,10,02-03-26-195944
100,client17,maurits-dijk-1a574906client171-bgjdf,hfl-train,29486.714243478255,5,15,1000.0,10,02-03-26-195944
101,client17,maurits-dijk-1a574906client171-bgjdf,sidecar,15597.351278260869,5,15,1000.0,10,02-03-26-195944
102,client5,maurits-dijk-1a574906client51-gw5kp,sidecar,15919.011226086956,5,15,1000.0,10,02-03-26-195944
103,client5,maurits-dijk-1a574906client51-gw5kp,hfl-train,30444.21095652174,5,15,1000.0,10,02-03-26-195944
104,client5,maurits-dijk-1a574906client51-gw5kp,hfl-train-model,17695.400782608696,5,15,1000.0,10,02-03-26-195944
105,client13,maurits-dijk-1a574906client131-xjq2g,sidecar,14620.66111532847,5,15,1000.0,10,02-03-26-195944
106,client13,maurits-dijk-1a574906client131-xjq2g,hfl-train-model,17157.187550364964,5,15,1000.0,10,02-03-26-195944
107,client13,maurits-dijk-1a574906client131-xjq2g,hfl-train,34688.916262773724,5,15,1000.0,10,02-03-26-195944
108,server,maurits-dijk-1a574906server1-xbb2n,hfl-train-model,20289.114315328465,5,15,1000.0,10,02-03-26-195944
109,server,maurits-dijk-1a574906server1-xbb2n,hfl-train,12214.911635036497,5,15,1000.0,10,02-03-26-195944
110,server,maurits-dijk-1a574906server1-xbb2n,sidecar,10014.418349754746,5,15,1000.0,10,02-03-26-195944
111,client9,maurits-dijk-1a574906client91-mggbf,sidecar,15121.653504347823,5,15,1000.0,10,02-03-26-195944
112,client9,maurits-dijk-1a574906client91-mggbf,hfl-train-model,17610.27112173913,5,15,1000.0,10,02-03-26-195944
113,client9,maurits-dijk-1a574906client91-mggbf,hfl-train,30112.979843478257,5,15,1000.0,10,02-03-26-195944
0,client16,client16-6dc7f87f54-pfsm7,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
1,client3,client3-58c68898cd-8xn5p,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
2,client3,client3-58c68898cd-8xn5p,client3,19015.74683636364,5,30,1000.0,10,02-03-26-211419
3,client3,client3-58c68898cd-8xn5p,sidecar,18973.02638787879,5,30,1000.0,10,02-03-26-211419
4,client3,client3-58c68898cd-8xn5p,linkerd-proxy,19010.744739393936,5,30,1000.0,10,02-03-26-211419
5,client9,client9-d68fb99b4-zvn9r,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
6,client11,client11-565c48c7c7-7shmw,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
7,client1,client1-7b9db886dd-qgwhn,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
8,client1,client1-7b9db886dd-qgwhn,linkerd-proxy,17617.73633939394,5,30,1000.0,10,02-03-26-211419
9,client20,client20-65f8864f77-wxrpp,linkerd-proxy,19093.131151515157,5,30,1000.0,10,02-03-26-211419
10,client20,client20-65f8864f77-wxrpp,sidecar,18532.57572121212,5,30,1000.0,10,02-03-26-211419
11,client20,client20-65f8864f77-wxrpp,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
12,client20,client20-65f8864f77-wxrpp,client20,19100.53752121212,5,30,1000.0,10,02-03-26-211419
13,client12,client12-79bc8d5846-cbvqh,client12,18539.71595757576,5,30,1000.0,10,02-03-26-211419
14,client12,client12-79bc8d5846-cbvqh,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
15,client12,client12-79bc8d5846-cbvqh,linkerd-proxy,18530.03535757576,5,30,1000.0,10,02-03-26-211419
16,client12,client12-79bc8d5846-cbvqh,sidecar,18494.473290909093,5,30,1000.0,10,02-03-26-211419
17,client10,client10-694b6b97b4-gqn9g,sidecar,16567.374606060606,5,30,1000.0,10,02-03-26-211419
18,client10,client10-694b6b97b4-gqn9g,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
19,client10,client10-694b6b97b4-gqn9g,client10,18789.134303030307,5,30,1000.0,10,02-03-26-211419
20,client10,client10-694b6b97b4-gqn9g,linkerd-proxy,18784.812660606065,5,30,1000.0,10,02-03-26-211419
21,client15,client15-79c969ddf-fbqh7,sidecar,19698.98973333333,5,30,1000.0,10,02-03-26-211419
22,client15,client15-79c969ddf-fbqh7,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
23,client15,client15-79c969ddf-fbqh7,client15,19740.603309090908,5,30,1000.0,10,02-03-26-211419
24,client15,client15-79c969ddf-fbqh7,linkerd-proxy,19734.663696969696,5,30,1000.0,10,02-03-26-211419
25,client6,client6-785d875985-hlxpz,sidecar,18933.665872727277,5,30,1000.0,10,02-03-26-211419
26,client6,client6-785d875985-hlxpz,client6,19830.774121212125,5,30,1000.0,10,02-03-26-211419
27,client6,client6-785d875985-hlxpz,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
28,client6,client6-785d875985-hlxpz,linkerd-proxy,19823.76392727273,5,30,1000.0,10,02-03-26-211419
29,client17,client17-69b85b5ccf-4mp79,sidecar,14659.435488306452,5,30,1000.0,10,02-03-26-211419
30,client17,client17-69b85b5ccf-4mp79,client17,17096.277460395868,5,30,1000.0,10,02-03-26-211419
31,client17,client17-69b85b5ccf-4mp79,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
32,client17,client17-69b85b5ccf-4mp79,linkerd-proxy,17019.07465827678,5,30,1000.0,10,02-03-26-211419
33,client19,client19-56fccdb4d9-qq7td,client19,18746.23844848485,5,30,1000.0,10,02-03-26-211419
34,client19,client19-56fccdb4d9-qq7td,sidecar,18706.433369696973,5,30,1000.0,10,02-03-26-211419
35,client19,client19-56fccdb4d9-qq7td,linkerd-proxy,18739.176842424244,5,30,1000.0,10,02-03-26-211419
36,client19,client19-56fccdb4d9-qq7td,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
37,client14,client14-856b5b5576-dfb2z,client14,18506.01077575757,5,30,1000.0,10,02-03-26-211419
38,client14,client14-856b5b5576-dfb2z,linkerd-proxy,18499.2274,5,30,1000.0,10,02-03-26-211419
39,client14,client14-856b5b5576-dfb2z,sidecar,17876.847381818185,5,30,1000.0,10,02-03-26-211419
40,client14,client14-856b5b5576-dfb2z,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
41,client18,client18-69db77c748-s5j7f,client18,18601.410503030304,5,30,1000.0,10,02-03-26-211419
42,client18,client18-69db77c748-s5j7f,sidecar,18568.446260606062,5,30,1000.0,10,02-03-26-211419
43,client18,client18-69db77c748-s5j7f,linkerd-proxy,18597.51527878788,5,30,1000.0,10,02-03-26-211419
44,client18,client18-69db77c748-s5j7f,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
45,client2,client2-86cd6d8cf7-hjcdn,sidecar,18505.118624242423,5,30,1000.0,10,02-03-26-211419
46,client2,client2-86cd6d8cf7-hjcdn,client2,18551.159690909088,5,30,1000.0,10,02-03-26-211419
47,client2,client2-86cd6d8cf7-hjcdn,linkerd-proxy,18546.64752121212,5,30,1000.0,10,02-03-26-211419
48,client2,client2-86cd6d8cf7-hjcdn,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
49,orchestrator,orchestrator-555f7b7c9d-vp9nz,sidecar,7858.717733333334,5,30,1000.0,10,02-03-26-211419
50,orchestrator,orchestrator-555f7b7c9d-vp9nz,orchestrator,6136.054812121212,5,30,1000.0,10,02-03-26-211419
51,orchestrator,orchestrator-555f7b7c9d-vp9nz,linkerd-proxy,9038.399096969695,5,30,1000.0,10,02-03-26-211419
52,api-gateway,api-gateway-6bf76d45b7-gbl6q,linkerd-proxy,9541.239884848485,5,30,1000.0,10,02-03-26-211419
53,orchestrator,policy-enforcer-cb8dccbd8-zrwdw,linkerd-proxy,9040.2832,5,30,1000.0,10,02-03-26-211419
54,orchestrator,policy-enforcer-cb8dccbd8-zrwdw,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
55,api-gateway,api-gateway-6bf76d45b7-gbl6q,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
56,orchestrator,orchestrator-555f7b7c9d-vp9nz,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
57,client7,client7-544486cc98-nffrc,sidecar,19745.58423636364,5,30,1000.0,10,02-03-26-211419
58,client7,client7-544486cc98-nffrc,client7,19779.649303030303,5,30,1000.0,10,02-03-26-211419
59,client7,client7-544486cc98-nffrc,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
60,client7,client7-544486cc98-nffrc,linkerd-proxy,19772.509066666666,5,30,1000.0,10,02-03-26-211419
61,client5,client5-7d5ff7f8b4-gvxfc,sidecar,15412.888206060608,5,30,1000.0,10,02-03-26-211419
62,client5,client5-7d5ff7f8b4-gvxfc,linkerd-proxy,17305.84016969697,5,30,1000.0,10,02-03-26-211419
63,client5,client5-7d5ff7f8b4-gvxfc,client5,17406.620024242424,5,30,1000.0,10,02-03-26-211419
64,client5,client5-7d5ff7f8b4-gvxfc,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
65,client8,client8-5845965f99-m76rf,client8,18041.82283030303,5,30,1000.0,10,02-03-26-211419
66,client8,client8-5845965f99-m76rf,sidecar,17321.38477575758,5,30,1000.0,10,02-03-26-211419
67,client8,client8-5845965f99-m76rf,linkerd-proxy,18034.4588,5,30,1000.0,10,02-03-26-211419
68,client8,client8-5845965f99-m76rf,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
69,client13,client13-7bf86f4f87-g4fk5,client13,16934.493442424242,5,30,1000.0,10,02-03-26-211419
70,client13,client13-7bf86f4f87-g4fk5,sidecar,14756.582236363638,5,30,1000.0,10,02-03-26-211419
71,client13,client13-7bf86f4f87-g4fk5,linkerd-proxy,16815.005624242425,5,30,1000.0,10,02-03-26-211419
72,client13,client13-7bf86f4f87-g4fk5,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
73,server,server-656f98b57f-6hlsp,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
74,server,server-656f98b57f-6hlsp,sidecar,10388.94902585909,5,30,1000.0,10,02-03-26-211419
75,server,server-656f98b57f-6hlsp,linkerd-proxy,11922.132193939397,5,30,1000.0,10,02-03-26-211419
76,server,server-656f98b57f-6hlsp,server,12369.24195022879,5,30,1000.0,10,02-03-26-211419
77,client4,client4-744474fb99-pjxfn,sidecar,18687.474393939392,5,30,1000.0,10,02-03-26-211419
78,client4,client4-744474fb99-pjxfn,client4,18731.274496969698,5,30,1000.0,10,02-03-26-211419
79,client4,client4-744474fb99-pjxfn,linkerd-init,0.0,5,30,1000.0,10,02-03-26-211419
80,client4,client4-744474fb99-pjxfn,linkerd-proxy,18725.01129090909,5,30,1000.0,10,02-03-26-211419
81,client16,client16-6dc7f87f54-pfsm7,client16,18994.2474969697,5,30,1000.0,10,02-03-26-211419
82,client16,client16-6dc7f87f54-pfsm7,sidecar,18796.954993939395,5,30,1000.0,10,02-03-26-211419
83,client16,client16-6dc7f87f54-pfsm7,linkerd-proxy,18987.612309090917,5,30,1000.0,10,02-03-26-211419
