K,Z,category,joules,kJ
5,90,api-gateway,9783.633731249998,9.783633731249997
5,90,client-apps,357131.7399893229,357.1317399893229
5,90,hfl-train,105236.33086562499,105.23633086562499
5,90,hfl-train-model,102110.09374218748,102.11009374218749
5,90,linkerd-proxy,394843.9283864765,394.8439283864765
5,90,orchestrator,5838.135016406249,5.838135016406249
5,90,other,5918.613055468749,5.918613055468748
5,90,server,11887.87548125,11.88787548125
5,90,sidecar,449589.09561899933,449.58909561899935
5,120,api-gateway,9719.42571875,9.719425718750001
5,120,client-apps,354420.5963991142,354.4205963991142
5,120,hfl-train,102234.67795570866,102.23467795570866
5,120,hfl-train-model,101921.32376833168,101.92132376833169
5,120,linkerd-proxy,392507.72157566436,392.50772157566433
5,120,orchestrator,5688.267890624999,5.688267890624999
5,120,other,5644.378484374999,5.644378484374999
5,120,server,11939.179031249998,11.939179031249997
5,120,sidecar,449074.55721665843,449.07455721665843
10,90,api-gateway,11462.548394029847,11.462548394029847
10,90,client-apps,365118.39318981685,365.11839318981686
10,90,hfl-train,207305.16289911378,207.30516289911378
10,90,hfl-train-model,193356.28780819062,193.35628780819061
10,90,linkerd-proxy,405353.0814156332,405.3530814156332
10,90,orchestrator,5819.878495522387,5.819878495522388
10,90,other,5847.228608955223,5.847228608955223
10,90,server,13200.167016296296,13.200167016296296
10,90,sidecar,530758.3735326177,530.7583735326177
10,120,api-gateway,9702.946228571427,9.702946228571427
10,120,client-apps,323322.3738995238,323.3223738995238
10,120,hfl-train,180100.73857142858,180.10073857142856
10,120,hfl-train-model,171764.96712021428,171.76496712021427
10,120,linkerd-proxy,359051.7249564095,359.0517249564095
10,120,orchestrator,5560.968971428571,5.560968971428571
10,120,other,5201.532057142857,5.201532057142858
10,120,server,11750.827273385712,11.750827273385712
10,120,sidecar,467941.3749695619,467.9413749695619
