K,Z,sigma_ed,sigma_iid,timestamp,path,service,bandwidth_data
5,100,1000.0,10,08-03-26-154835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1000p0_iid10/08-03-26-154835,client13,"{'rx_mb': 955.117943, 'tx_mb': 2115.041254, 'rx_bytes': 955117943, 'tx_bytes': 2115041254, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1000.0, 'exp_iid': 10}"
5,100,1000.0,10,08-03-26-154835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1000p0_iid10/08-03-26-154835,client17,"{'rx_mb': 956.373354, 'tx_mb': 2148.263436, 'rx_bytes': 956373354, 'tx_bytes': 2148263436, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1000.0, 'exp_iid': 10}"
5,100,1000.0,10,08-03-26-154835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1000p0_iid10/08-03-26-154835,api-gateway,"{'rx_mb': 10542.763717, 'tx_mb': 13721.927276, 'rx_bytes': 10542763717, 'tx_bytes': 13721927276, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1000.0, 'exp_iid': 10}"
5,100,1000.0,10,08-03-26-154835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1000p0_iid10/08-03-26-154835,client1,"{'rx_mb': 949.165144, 'tx_mb': 2139.8487, 'rx_bytes': 949165144, 'tx_bytes': 2139848700, 'iface': 'enp6s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1000.0, 'exp_iid': 10}"
5,100,1000.0,10,08-03-26-154835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1000p0_iid10/08-03-26-154835,client5,"{'rx_mb': 956.012683, 'tx_mb': 2142.318451, 'rx_bytes': 956012683, 'tx_bytes': 2142318451, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1000.0, 'exp_iid': 10}"
5,100,1000.0,10,08-03-26-154835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1000p0_iid10/08-03-26-154835,server,"{'rx_mb': 4871.904316, 'tx_mb': 8059.236342, 'rx_bytes': 4871904316, 'tx_bytes': 8059236342, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1000.0, 'exp_iid': 10}"
5,100,1000.0,10,08-03-26-154835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1000p0_iid10/08-03-26-154835,client9,"{'rx_mb': 950.401846, 'tx_mb': 1920.448446, 'rx_bytes': 950401846, 'tx_bytes': 1920448446, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1000.0, 'exp_iid': 10}"
5,100,1.7,10,08-03-26-183752,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1p7_iid10/08-03-26-183752,client13,"{'rx_mb': 955.1822, 'tx_mb': 2127.843595, 'rx_bytes': 955182200, 'tx_bytes': 2127843595, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1.7, 'exp_iid': 10}"
5,100,1.7,10,08-03-26-183752,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1p7_iid10/08-03-26-183752,client17,"{'rx_mb': 956.608645, 'tx_mb': 2159.805651, 'rx_bytes': 956608645, 'tx_bytes': 2159805651, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1.7, 'exp_iid': 10}"
5,100,1.7,10,08-03-26-183752,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1p7_iid10/08-03-26-183752,api-gateway,"{'rx_mb': 10541.438361, 'tx_mb': 13373.835576, 'rx_bytes': 10541438361, 'tx_bytes': 13373835576, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1.7, 'exp_iid': 10}"
5,100,1.7,10,08-03-26-183752,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1p7_iid10/08-03-26-183752,client1,"{'rx_mb': 968.894807, 'tx_mb': 2117.192086, 'rx_bytes': 968894807, 'tx_bytes': 2117192086, 'iface': 'enp6s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1.7, 'exp_iid': 10}"
5,100,1.7,10,08-03-26-183752,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1p7_iid10/08-03-26-183752,client5,"{'rx_mb': 956.641502, 'tx_mb': 2145.559248, 'rx_bytes': 956641502, 'tx_bytes': 2145559248, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1.7, 'exp_iid': 10}"
5,100,1.7,10,08-03-26-183752,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/exp3/K05/Z100_ed1p7_iid10/08-03-26-183752,server,"{'rx_mb': 4883.655014, 'tx_mb': 8014.258136, 'rx_bytes': 4883655014, 'tx_bytes': 8014258136, 'iface': 'enp7s0', 'exp_k': 5, 'exp_z': 100, 'exp_c': 25, 'exp_ed': 1.7, 'exp_iid': 10}"
