,K,Z,sigma_ed,sigma_iid,timestamp,path
0,5,15,1000.0,10,02-03-26-195944,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z015_ed1000p0_iid10/02-03-26-195944
1,5,30,1000.0,10,02-03-26-211419,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z030_ed1000p0_iid10/02-03-26-211419
2,5,120,1000.0,10,03-03-26-004803,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z120_ed1000p0_iid10/03-03-26-004803
3,5,360,1000.0,10,03-03-26-084835,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z360_ed1000p0_iid10/03-03-26-084835
4,5,260,1000.0,10,03-03-26-052615,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z260_ed1000p0_iid10/03-03-26-052615
5,5,330,1000.0,10,03-03-26-074522,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z330_ed1000p0_iid10/03-03-26-074522
6,5,60,1000.0,10,02-03-26-222653,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z060_ed1000p0_iid10/02-03-26-222653
7,5,190,1000.0,10,03-03-26-030710,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z190_ed1000p0_iid10/03-03-26-030710
8,5,300,1000.0,10,03-03-26-063549,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z300_ed1000p0_iid10/03-03-26-063549
9,5,150,1000.0,10,03-03-26-015736,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z150_ed1000p0_iid10/03-03-26-015736
10,5,230,1000.0,10,03-03-26-041643,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z230_ed1000p0_iid10/03-03-26-041643
11,5,90,1000.0,10,02-03-26-233730,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z090_ed1000p0_iid10/02-03-26-233730
12,5,400,1000.0,10,03-03-26-155553,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K05/Z400_ed1000p0_iid10/03-03-26-155553
13,10,15,1000.0,10,03-03-26-180534,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z015_ed1000p0_iid10/03-03-26-180534
14,10,30,1000.0,10,03-03-26-181611,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z030_ed1000p0_iid10/03-03-26-181611
15,10,120,1000.0,10,03-03-26-205051,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z120_ed1000p0_iid10/03-03-26-205051
16,10,360,1000.0,10,04-03-26-032902,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z360_ed1000p0_iid10/04-03-26-032902
17,10,260,1000.0,10,04-03-26-005822,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z260_ed1000p0_iid10/04-03-26-005822
18,10,330,1000.0,10,04-03-26-032329,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z330_ed1000p0_iid10/04-03-26-032329
19,10,60,1000.0,10,03-03-26-193147,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z060_ed1000p0_iid10/03-03-26-193147
20,10,400,1000.0,10,04-03-26-044136,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z400_ed1000p0_iid10/04-03-26-044136
21,10,190,1000.0,10,03-03-26-220305,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z190_ed1000p0_iid10/03-03-26-220305
22,10,300,1000.0,10,04-03-26-021055,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z300_ed1000p0_iid10/04-03-26-021055
23,10,150,1000.0,10,03-03-26-215626,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z150_ed1000p0_iid10/03-03-26-215626
24,10,230,1000.0,10,03-03-26-234549,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z230_ed1000p0_iid10/03-03-26-234549
25,10,90,1000.0,10,03-03-26-193721,/home/maurits/EnergyEfficient_Scattered-Directive/fabric/data/K10/Z090_ed1000p0_iid10/03-03-26-193721
