Round,ClientID,ClientAccuracy,ClientTrainingTime,K,Z,sigma_ed,sigma_iid,timestamp
0,client5,0.1778523489932885,3375.4587700095726,5,100,1000.0,10,08-03-26-154835
0,client17,0.1932757325319308,3086.3129630015464,5,100,1000.0,10,08-03-26-154835
0,client13,0.1645379413974455,3360.257284002728,5,100,1000.0,10,08-03-26-154835
0,client1,0.2110334403929718,3163.6985990044195,5,100,1000.0,10,08-03-26-154835
0,client9,0.1977839335180055,3445.869686009246,5,100,1000.0,10,08-03-26-154835
1,client5,0.2764727815063385,2215.963936992921,5,100,1000.0,10,08-03-26-154835
1,client17,0.2742299023290759,2098.54289899522,5,100,1000.0,10,08-03-26-154835
1,client13,0.2270848985725019,2732.402602006914,5,100,1000.0,10,08-03-26-154835
1,client1,0.2977517475911581,1973.0949079967104,5,100,1000.0,10,08-03-26-154835
1,client9,0.3255771006463527,2328.5852929984685,5,100,1000.0,10,08-03-26-154835
2,client5,0.3737882177479493,1969.4299819966543,5,100,1000.0,10,08-03-26-154835
2,client17,0.393313298271976,1955.7129760069076,5,100,1000.0,10,08-03-26-154835
2,client13,0.359504132231405,2431.930339007522,5,100,1000.0,10,08-03-26-154835
2,client1,0.3478178726620064,1952.1858920052184,5,100,1000.0,10,08-03-26-154835
2,client9,0.362511542012927,2353.6518559994875,5,100,1000.0,10,08-03-26-154835
3,client5,0.52889634601044,2027.4489849980453,5,100,1000.0,10,08-03-26-154835
3,client17,0.4034560480841472,1959.190690002288,5,100,1000.0,10,08-03-26-154835
3,client13,0.4628099173553719,2360.0666010024725,5,100,1000.0,10,08-03-26-154835
3,client1,0.4691101454751559,2139.456784003414,5,100,1000.0,10,08-03-26-154835
3,client9,0.453185595567867,2265.5793790036114,5,100,1000.0,10,08-03-26-154835
4,client5,0.6034675615212528,2164.89678400103,5,100,1000.0,10,08-03-26-154835
4,client17,0.4273102930127723,2163.4261020080885,5,100,1000.0,10,08-03-26-154835
4,client13,0.5777610818933133,2466.4029160048813,5,100,1000.0,10,08-03-26-154835
4,client1,0.5191762705460041,1929.0140910015907,5,100,1000.0,10,08-03-26-154835
4,client9,0.5257617728531856,2473.957762995269,5,100,1000.0,10,08-03-26-154835
5,client5,0.5833333333333334,1954.2961240076693,5,100,1000.0,10,08-03-26-154835
5,client17,0.5736288504883547,2039.1841160017063,5,100,1000.0,10,08-03-26-154835
5,client13,0.6042449286250939,2413.693966009305,5,100,1000.0,10,08-03-26-154835
5,client1,0.5529945210655582,2552.387890013051,5,100,1000.0,10,08-03-26-154835
5,client9,0.5951985226223453,2366.074339995976,5,100,1000.0,10,08-03-26-154835
6,client5,0.6284489187173751,1894.9519570014672,5,100,1000.0,10,08-03-26-154835
6,client17,0.5909090909090909,1985.460798998247,5,100,1000.0,10,08-03-26-154835
6,client13,0.648572501878287,2408.8205919979373,5,100,1000.0,10,08-03-26-154835
6,client1,0.5443037974683544,2006.8395800044527,5,100,1000.0,10,08-03-26-154835
6,client9,0.5235457063711911,2336.060572997667,5,100,1000.0,10,08-03-26-154835
7,client5,0.6653616703952274,2072.55792900105,5,100,1000.0,10,08-03-26-154835
7,client17,0.5691209616829451,2316.7437630036147,5,100,1000.0,10,08-03-26-154835
7,client13,0.6476333583771601,2432.901464999304,5,100,1000.0,10,08-03-26-154835
7,client1,0.5698091819384092,1953.1494499969997,5,100,1000.0,10,08-03-26-154835
7,client9,0.5795013850415512,2389.9457399966195,5,100,1000.0,10,08-03-26-154835
8,client5,0.6692766592095452,2583.0844169977354,5,100,1000.0,10,08-03-26-154835
8,client17,0.6346731780616078,1961.3664509961384,5,100,1000.0,10,08-03-26-154835
8,client13,0.6743050338091661,2640.022906998638,5,100,1000.0,10,08-03-26-154835
8,client1,0.545437370111468,1951.6710470052203,5,100,1000.0,10,08-03-26-154835
8,client9,0.5401662049861495,2342.157330989721,5,100,1000.0,10,08-03-26-154835
9,client5,0.6812080536912751,2066.5572799916845,5,100,1000.0,10,08-03-26-154835
9,client17,0.6157024793388429,1991.8977990018905,5,100,1000.0,10,08-03-26-154835
9,client13,0.6649135987978964,2423.839160008356,5,100,1000.0,10,08-03-26-154835
9,client1,0.5577177404118647,1956.538238999201,5,100,1000.0,10,08-03-26-154835
9,client9,0.5442289935364728,2288.0678919900674,5,100,1000.0,10,08-03-26-154835
10,client5,0.6329231916480239,1974.4140259863343,5,100,1000.0,10,08-03-26-154835
10,client17,0.5899699474079639,1935.488830000395,5,100,1000.0,10,08-03-26-154835
10,client13,0.5339969947407964,2421.990528004244,5,100,1000.0,10,08-03-26-154835
10,client1,0.3002078216512375,1959.7879369976,5,100,1000.0,10,08-03-26-154835
10,client9,0.4770083102493074,2375.835929007735,5,100,1000.0,10,08-03-26-154835
11,client5,0.3599925428784489,1927.360553003382,5,100,1000.0,10,08-03-26-154835
11,client17,0.2439894815927873,2176.076061994536,5,100,1000.0,10,08-03-26-154835
11,client13,0.3908715251690458,2566.974790999666,5,100,1000.0,10,08-03-26-154835
11,client1,0.1435858681277158,2063.124677006272,5,100,1000.0,10,08-03-26-154835
11,client9,0.2590951061865189,2366.5113910101354,5,100,1000.0,10,08-03-26-154835
12,client5,0.2479492915734526,1979.5949580002343,5,100,1000.0,10,08-03-26-154835
12,client17,0.2064237415477084,2001.889363004011,5,100,1000.0,10,08-03-26-154835
12,client13,0.1820060105184072,2529.805141995894,5,100,1000.0,10,08-03-26-154835
12,client1,0.2867938787077272,1945.0744570058305,5,100,1000.0,10,08-03-26-154835
12,client9,0.1739612188365651,2405.552145006368,5,100,1000.0,10,08-03-26-154835
13,client5,0.3639075316927666,1997.3492449935293,5,100,1000.0,10,08-03-26-154835
13,client17,0.3009015777610819,2318.014377990039,5,100,1000.0,10,08-03-26-154835
13,client13,0.3127347858752817,2400.5400449968874,5,100,1000.0,10,08-03-26-154835
13,client1,0.30795390137918,2281.595216001733,5,100,1000.0,10,08-03-26-154835
13,client9,0.3060018467220683,2315.682674990967,5,100,1000.0,10,08-03-26-154835
14,client5,0.5067114093959731,1983.1955709960312,5,100,1000.0,10,08-03-26-154835
14,client17,0.5428249436513899,2246.761325004627,5,100,1000.0,10,08-03-26-154835
14,client13,0.4891059353869271,2401.3496120023774,5,100,1000.0,10,08-03-26-154835
14,client1,0.5597959569242396,1942.8424409998115,5,100,1000.0,10,08-03-26-154835
14,client9,0.5346260387811634,2491.5548709977884,5,100,1000.0,10,08-03-26-154835
15,client5,0.6638702460850112,2435.3166859946214,5,100,1000.0,10,08-03-26-154835
15,client17,0.6718632607062359,2273.5394290066324,5,100,1000.0,10,08-03-26-154835
15,client13,0.6692336589030804,2464.477348999935,5,100,1000.0,10,08-03-26-154835
15,client1,0.6631399962214245,2033.8314900000116,5,100,1000.0,10,08-03-26-154835
15,client9,0.6384118190212373,2307.937232995755,5,100,1000.0,10,08-03-26-154835
16,client5,0.6830723340790454,2301.4669619878987,5,100,1000.0,10,08-03-26-154835
16,client17,0.6756198347107438,2227.0017499977257,5,100,1000.0,10,08-03-26-154835
16,client13,0.7154395191585274,2376.614036009414,5,100,1000.0,10,08-03-26-154835
16,client1,0.6695635745324013,1997.0649689930724,5,100,1000.0,10,08-03-26-154835
16,client9,0.689196675900277,2312.930783009506,5,100,1000.0,10,08-03-26-154835
17,client5,0.7233407904548844,2319.5160149916774,5,100,1000.0,10,08-03-26-154835
17,client17,0.6925244177310294,1964.2400269949576,5,100,1000.0,10,08-03-26-154835
17,client13,0.696656649135988,2412.5683279999066,5,100,1000.0,10,08-03-26-154835
17,client1,0.6875118080483658,2263.466860007611,5,100,1000.0,10,08-03-26-154835
17,client9,0.6962142197599261,2430.8555669995258,5,100,1000.0,10,08-03-26-154835
18,client5,0.6873601789709173,1911.659284000052,5,100,1000.0,10,08-03-26-154835
18,client17,0.7351615326821939,2035.989725991385,5,100,1000.0,10,08-03-26-154835
18,client13,0.7468069120961683,2497.2959799924865,5,100,1000.0,10,08-03-26-154835
18,client1,0.7065936142074438,2225.6647320027696,5,100,1000.0,10,08-03-26-154835
18,client9,0.689196675900277,2469.352535001235,5,100,1000.0,10,08-03-26-154835
19,client5,0.7380686055182699,1949.4419299880972,5,100,1000.0,10,08-03-26-154835
19,client17,0.709053343350864,1976.349278993439,5,100,1000.0,10,08-03-26-154835
19,client13,0.7607062359128475,2387.77718100755,5,100,1000.0,10,08-03-26-154835
19,client1,0.6907235972038541,2094.156136998208,5,100,1000.0,10,08-03-26-154835
19,client9,0.7364727608494922,2301.151313993614,5,100,1000.0,10,08-03-26-154835
20,client5,0.7593214019388516,2284.541457993328,5,100,1000.0,10,08-03-26-154835
20,client17,0.7558226897069872,1980.779061006615,5,100,1000.0,10,08-03-26-154835
20,client13,0.7261457550713749,2383.6260159878293,5,100,1000.0,10,08-03-26-154835
20,client1,0.7288872095220102,1936.8639059975976,5,100,1000.0,10,08-03-26-154835
20,client9,0.7745152354570637,2378.591437998693,5,100,1000.0,10,08-03-26-154835
21,client5,0.7662192393736018,1971.7052080086432,5,100,1000.0,10,08-03-26-154835
21,client17,0.7650262960180315,2197.8113660006784,5,100,1000.0,10,08-03-26-154835
21,client13,0.7674680691209617,2441.1778159992537,5,100,1000.0,10,08-03-26-154835
21,client1,0.7432457963347818,1964.223230010248,5,100,1000.0,10,08-03-26-154835
21,client9,0.7377654662973222,2245.85490100435,5,100,1000.0,10,08-03-26-154835
22,client5,0.7406785980611484,2155.177280001226,5,100,1000.0,10,08-03-26-154835
22,client17,0.782870022539444,2360.8443350094603,5,100,1000.0,10,08-03-26-154835
22,client13,0.7851239669421488,2706.133044004673,5,100,1000.0,10,08-03-26-154835
22,client1,0.7498583034196108,2332.3353369924007,5,100,1000.0,10,08-03-26-154835
22,client9,0.746814404432133,2417.927016998874,5,100,1000.0,10,08-03-26-154835
23,client5,0.7660328113348247,2026.2788030086083,5,100,1000.0,10,08-03-26-154835
23,client17,0.7710368144252442,1992.1978769998527,5,100,1000.0,10,08-03-26-154835
23,client13,0.7937640871525169,2453.578476997791,5,100,1000.0,10,08-03-26-154835
23,client1,0.7268089930096354,1917.518771995674,5,100,1000.0,10,08-03-26-154835
23,client9,0.7499538319482918,2320.9456890035653,5,100,1000.0,10,08-03-26-154835
24,client5,0.7399328859060402,2256.4442209986737,5,100,1000.0,10,08-03-26-154835
24,client17,0.7693463561232157,1963.6425839998992,5,100,1000.0,10,08-03-26-154835
24,client13,0.7742299023290758,2400.7862440048484,5,100,1000.0,10,08-03-26-154835
24,client1,0.7432457963347818,2262.6156009937404,5,100,1000.0,10,08-03-26-154835
24,client9,0.7848568790397045,2356.9288379949285,5,100,1000.0,10,08-03-26-154835
0,client5,0.2052196770559519,2427.912540966645,5,100,1000.0,10,18-03-26-133632
0,client17,0.2335216572504708,2170.282823033631,5,100,1000.0,10,18-03-26-133632
0,client13,0.2376560999039385,2789.0334241092205,5,100,1000.0,10,18-03-26-133632
0,client1,0.2092675635276532,2347.5826180074364,5,100,1000.0,10,18-03-26-133632
0,client9,0.1940808195788275,2617.1789231011644,5,100,1000.0,10,18-03-26-133632
1,client5,0.2482162974089372,2025.7441849680615,5,100,1000.0,10,18-03-26-133632
1,client17,0.2768361581920904,2004.6954390127207,5,100,1000.0,10,18-03-26-133632
1,client13,0.2958693563880883,2372.078515938483,5,100,1000.0,10,18-03-26-133632
1,client1,0.2819506726457399,2010.488464962691,5,100,1000.0,10,18-03-26-133632
1,client9,0.254600645038892,2274.457488907501,5,100,1000.0,10,18-03-26-133632
2,client5,0.4068719489297784,1932.445905986242,5,100,1000.0,10,18-03-26-133632
2,client17,0.408286252354049,2013.017565011978,5,100,1000.0,10,18-03-26-133632
2,client13,0.3938520653218059,2364.05949795153,5,100,1000.0,10,18-03-26-133632
2,client1,0.3155829596412556,1997.9522039648143,5,100,1000.0,10,18-03-26-133632
2,client9,0.3458546765319674,2270.622096955776,5,100,1000.0,10,18-03-26-133632
3,client5,0.4665790461885092,1938.3486000588164,5,100,1000.0,10,18-03-26-133632
3,client17,0.4410546139359698,2077.733480022289,5,100,1000.0,10,18-03-26-133632
3,client13,0.4929875120076849,2353.517387062311,5,100,1000.0,10,18-03-26-133632
3,client1,0.500186846038864,2084.7753930138424,5,100,1000.0,10,18-03-26-133632
3,client9,0.42876114589262,2263.584911008365,5,100,1000.0,10,18-03-26-133632
4,client5,0.4836650394292152,2261.160710011609,5,100,1000.0,10,18-03-26-133632
