Unnamed: 0,namespace,pod_name,container_name,joules,K,Z,sigma_ed,sigma_iid,timestamp
0,orchestrator,init-etcd-pvc-tc44n,init,0.0,5,100,1000.0,10,08-03-26-154835
1,client1,client1-7b9db886dd-7cb7h,linkerd-init,0.0,5,100,1000.0,10,08-03-26-154835
2,client13,client13-7bf86f4f87-85x5v,client13,16653.459770078738,5,100,1000.0,10,08-03-26-154835
3,client13,client13-7bf86f4f87-85x5v,linkerd-proxy,16558.321081889764,5,100,1000.0,10,08-03-26-154835
4,client13,client13-7bf86f4f87-85x5v,sidecar,14549.904885826772,5,100,1000.0,10,08-03-26-154835
5,client13,client13-7bf86f4f87-85x5v,linkerd-init,0.0,5,100,1000.0,10,08-03-26-154835
6,client20,client20-65f8864f77-86s5m,client20,18171.194548818898,5,100,1000.0,10,08-03-26-154835
7,client20,client20-65f8864f77-86s5m,linkerd-init,0.0,5,100,1000.0,10,08-03-26-154835
8,client20,client20-65f8864f77-86s5m,sidecar,18136.406026771656,5,100,1000.0,10,08-03-26-154835
9,client20,client20-65f8864f77-86s5m,linkerd-proxy,18168.127029921263,5,100,1000.0,10,08-03-26-154835
10,server,server-656f98b57f-s8nt8,linkerd-proxy,12618.864070312498,5,100,1000.0,10,08-03-26-154835
11,server,server-656f98b57f-s8nt8,linkerd-init,0.0,5,100,1000.0,10,08-03-26-154835
12,client8,client8-5845965f99-7b797,client8,17976.052849218748,5,100,1000.0,10,08-03-26-154835
13,client8,client8-5845965f99-7b797,linkerd-proxy,17968.18606171875,5,100,1000.0,10,08-03-26-154835
14,client8,client8-5845965f99-7b797,sidecar,17136.472366406248,5,100,1000.0,10,08-03-26-154835
15,client8,client8-5845965f99-7b797,linkerd-init,0.0,5,100,1000.0,10,08-03-26-154835
16,client14,client14-856b5b5576-9l2sr,client14,18062.00232890625,5,100,1000.0,10,08-03-26-154835
17,client14,client14-856b5b5576-9l2sr,sidecar,17535.754061718748,5,100,1000.0,10,08-03-26-154835
18,client14,client14-856b5b5576-9l2sr,linkerd-init,0.0,5,100,1000.0,10,08-03-26-154835
19,client14,client14-856b5b5576-9l2sr,linkerd-proxy,18056.97096328125,5,100,1000.0,10,08-03-26-154835
20,client10,client10-694b6b97b4-n8b76,client10,18333.7835484375,5,100,1000.0,10,08-03-26-154835
