Z,Infrastructure_kJ,Coordination_kJ,Training_kJ,Client_apps_kJ,Total_kJ,Fixed_infrastructure_kJ,Variable_training_kJ,Fixed_pct,Variable_pct,Samples_per_partition,Samples_per_round,Energy_per_sample_J,Fixed_per_sample_J,Variable_per_sample_J
15,36.84,1.42,11.03,15.33,64.38,53.59,11.03,83.24013668841256,17.13264989127058,35408.666666666664,177043.3333333333,0.36363978686950466,0.3026942556436278,0.06230113154971476
30,35.26,1.38,9.45,14.79,60.64,51.43,9.45,84.81200527704486,15.58377308707124,17704.333333333332,88521.66666666666,0.6850300303127296,0.5809877054581741,0.1067535255022311
60,34.85,1.34,8.53,14.51,59.01,50.7,8.53,85.91764107778343,14.455177088629046,8852.166666666666,44260.83333333333,1.3332329184945306,1.1454822736429877,0.19272117937228175
90,34.01,1.34,8.29,14.29,57.69,49.64,8.29,86.04610851100712,14.369908129658517,5901.444444444444,29507.222222222223,1.9551145670551466,1.6823000018827783,0.2809481671153955
120,33.89,1.32,8.17,14.18,57.33,49.39,8.17,86.15035757892902,14.250828536542823,4426.083333333333,22130.416666666664,2.5905522188541417,2.2317699998117226,0.36917515485850927
150,34.06,1.35,8.04,14.12,57.34,49.53,8.04,86.37949075688873,14.021625392396231,3540.866666666667,17704.333333333336,3.2387551070359417,2.797620168320373,0.45412610848568136
190,33.93,1.34,8.1,14.24,57.38,49.510000000000005,8.1,86.28441965841758,14.116416869989543,2795.4210526315787,13977.105263157893,4.105284958484741,3.5422213017528676,0.5795191384406831
230,33.8,1.35,8.04,14.15,57.1,49.3,8.04,86.33975481611208,14.080560420315235,2309.2608695652175,11546.304347826088,4.945305292489597,4.269764464443733,0.6963266996780448
260,33.72,1.34,7.93,14.08,56.85,49.14,7.93,86.43799472295515,13.948988566402814,2042.8076923076924,10214.038461538461,5.565868996290927,4.811025549300548,0.7763824299135805
300,33.69,1.33,7.97,14.08,56.84,49.099999999999994,7.97,86.38282899366642,14.021815622800842,1770.4333333333334,8852.166666666668,6.421026867245306,5.546664658369889,0.900344548415642
400,33.75,1.34,7.98,14.08,56.92,49.17,7.98,86.38439915671118,14.019676739283204,1327.825,6639.125,8.573418936983412,7.406096435900816,1.2019656204695648
