round,namespace,pod_name,container_name,joules,exp,K,Z,sigma_ed,sigma_iid,timestamp,dbscan_label,zscore
14,api-gateway,api-gateway-6bf76d45b7-f8b7f,api-gateway,325.21200000000044,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.5364659581354987
2,api-gateway,api-gateway-6bf76d45b7-f8b7f,linkerd-proxy,339.5490000000002,exp1,5,15,1000.0,10,08-05-26-123027,-1,-2.6100761295986636
0,api-gateway,api-gateway-6bf76d45b7-ldtl9,sidecar,262.66200000000003,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.9698599589806776
6,api-gateway,api-gateway-6bf76d45b7-zh2zg,sidecar,244.78200000000007,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.5295514740730067
19,client1,client1-7b9db886dd-5db7j,sidecar,494.214,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.5356018879928572
14,client1,maurits-dijk-ab40b6adclient11-5gq5d,hfl-train,1096.5509999999997,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.606183522829875
9,client1,maurits-dijk-ab40b6adclient11-5gq5d,sidecar,455.2739999999994,exp1,5,15,1000.0,10,10-05-26-111252,-1,-2.6048062031574695
10,client11,client11-565c48c7c7-24jlj,sidecar,902.8349999999992,exp1,5,15,1000.0,10,08-05-26-123027,-1,2.7835114854783027
22,client11,client11-565c48c7c7-c968c,sidecar,919.6800000000004,exp1,5,15,1000.0,10,09-05-26-141047,-1,2.6601077644241147
4,client12,client12-79bc8d5846-5wths,client12,643.4759999999997,exp1,5,15,1000.0,10,10-05-26-111252,-1,-3.0521444177727974
4,client12,client12-79bc8d5846-5wths,linkerd-proxy,643.2509999999997,exp1,5,15,1000.0,10,10-05-26-111252,-1,-3.053117411737227
4,client12,client12-79bc8d5846-5wths,sidecar,641.7089999999994,exp1,5,15,1000.0,10,10-05-26-111252,-1,-3.053444658740414
16,client12,client12-79bc8d5846-dckbb,client12,640.3650000000016,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.6053106843944485
16,client12,client12-79bc8d5846-dckbb,linkerd-proxy,640.3799999999992,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.604409803565679
4,client12,client12-79bc8d5846-dckbb,sidecar,487.67999999999984,exp1,5,15,1000.0,10,09-05-26-141047,-1,-2.610787988020576
