exp,K,Z,sigma_ed,sigma_iid,container_name,round,joules,dbscan_label,zscore
exp1,5,15,1000.0,10,client10,12,719.6999999999995,-1,-2.574327567024415
exp1,5,15,1000.0,10,client13,8,659.9369999999999,-1,-2.6507118090602
exp1,5,15,1000.0,10,client15,10,732.7069999999991,-1,-2.556161293623655
exp1,5,15,1000.0,10,client17,10,649.3469999999994,-1,-2.8536125184930703
exp1,5,15,1000.0,10,client3,15,729.3169999999991,-1,-2.7162192476204106
exp1,5,15,1000.0,10,client6,5,715.107,-1,-2.790831733519032
exp1,5,60,1000.0,10,client1,19,800.7529999999994,-1,2.6272905102554174
exp1,5,60,1000.0,10,hfl-train-model,19,756.433,-1,2.8014165755703955
exp1,5,90,1000.0,10,client10,22,837.3989999999994,-1,2.545075918925289
exp1,5,90,1000.0,10,client3,15,853.8739999999992,-1,2.520608186494119
exp1,5,90,1000.0,10,client7,24,691.0500000000011,-1,-2.5484734280272545
exp1,5,120,1000.0,10,client1,20,609.1220000000006,-1,-2.59040045055202
exp1,5,120,1000.0,10,client11,22,661.3849999999996,-1,-2.5421282526218074
exp1,5,120,1000.0,10,client17,19,613.0370000000003,-1,-2.556371217844863
exp1,5,120,1000.0,10,client4,19,696.6770000000002,-1,-2.531513449234051
exp1,5,120,1000.0,10,linkerd-proxy,10,671.4451666666669,-1,-2.52304998728588
exp1,5,150,1000.0,10,client14,12,912.0489999999996,-1,2.5881591703993334
exp1,5,150,1000.0,10,client20,6,884.5589999999999,-1,2.888198099414526
exp1,5,150,1000.0,10,client7,11,908.5910000000009,-1,2.5995040930452604
exp1,5,150,1000.0,10,orchestrator,14,164.5409999999997,-1,-2.5953191867121457
exp1,5,190,1000.0,10,client18,6,880.3489999999998,-1,2.6697390991697696
exp1,5,260,1000.0,10,client19,6,905.6519999999995,-1,2.887118955976738
exp1,5,330,1000.0,10,sidecar,10,565.6468666666666,-1,-2.7047048030240077
exp1,5,360,1000.0,10,client1,5,807.384,-1,2.724346208703323
exp1,5,360,1000.0,10,client10,6,940.4240000000003,-1,2.7675404208447505
exp1,5,360,1000.0,10,linkerd-proxy,20,657.2306666666666,-1,-3.5846061403806795
exp1,5,400,1000.0,10,client18,24,887.8739999999985,-1,2.7805889544421465
exp1,5,400,1000.0,10,client19,21,883.4650000000032,-1,2.5126021778903094
