round,api-gateway_energy,client1_energy,client10_energy,client11_energy,client12_energy,client13_energy,client14_energy,client15_energy,client16_energy,client17_energy,client18_energy,client19_energy,client2_energy,client20_energy,client3_energy,client4_energy,client5_energy,client6_energy,client7_energy,client8_energy,client9_energy,hfl-train_energy,hfl-train-model_energy,linkerd-init_energy,linkerd-proxy_energy,orchestrator_energy,policy-enforcer_energy,server_energy,sidecar_energy,timestamp,api-gateway_energy_Anomaly,api-gateway_energy_Anomaly_Score,client1_energy_Anomaly,client1_energy_Anomaly_Score,client10_energy_Anomaly,client10_energy_Anomaly_Score,client11_energy_Anomaly,client11_energy_Anomaly_Score,client12_energy_Anomaly,client12_energy_Anomaly_Score,client13_energy_Anomaly,client13_energy_Anomaly_Score,client14_energy_Anomaly,client14_energy_Anomaly_Score,client15_energy_Anomaly,client15_energy_Anomaly_Score,client16_energy_Anomaly,client16_energy_Anomaly_Score,client17_energy_Anomaly,client17_energy_Anomaly_Score,client18_energy_Anomaly,client18_energy_Anomaly_Score,client19_energy_Anomaly,client19_energy_Anomaly_Score,client2_energy_Anomaly,client2_energy_Anomaly_Score,client20_energy_Anomaly,client20_energy_Anomaly_Score,client3_energy_Anomaly,client3_energy_Anomaly_Score,client4_energy_Anomaly,client4_energy_Anomaly_Score,client5_energy_Anomaly,client5_energy_Anomaly_Score,client6_energy_Anomaly,client6_energy_Anomaly_Score,client7_energy_Anomaly,client7_energy_Anomaly_Score,client8_energy_Anomaly,client8_energy_Anomaly_Score,client9_energy_Anomaly,client9_energy_Anomaly_Score,hfl-train_energy_Anomaly,hfl-train_energy_Anomaly_Score,hfl-train-model_energy_Anomaly,hfl-train-model_energy_Anomaly_Score,linkerd-init_energy_Anomaly,linkerd-init_energy_Anomaly_Score,linkerd-proxy_energy_Anomaly,linkerd-proxy_energy_Anomaly_Score,orchestrator_energy_Anomaly,orchestrator_energy_Anomaly_Score,policy-enforcer_energy_Anomaly,policy-enforcer_energy_Anomaly_Score,server_energy_Anomaly,server_energy_Anomaly_Score,sidecar_energy_Anomaly,sidecar_energy_Anomaly_Score,exp,K,Z,sigma_ed,sigma_iid
0,406.368,758.4689999999998,875.8679999999999,853.4009999999998,891.3119999999999,814.6379999999999,820.965,706.1160000000001,848.1389999999999,700.8900000000001,809.847,866.694,816.7230000000002,774.0809999999999,855.2430000000002,697.0980000000002,762.0839999999998,830.5770000000002,839.6340000000001,979.635,818.4449999999999,7232.124,4668.693,0.0,18072.596999999998,275.391,211.236,585.519,20467.527000000002,08-05-26-123027,0,0.002983697354221021,0,0.001425841372134029,1,0.01040047490602547,0,0.007343836642165674,1,0.014795482251933861,1,0.017588786953319557,0,0.003132134305405959,1,0.024469312323498138,0,0.00438844501891264,1,0.012787762740708114,0,0.005277633668037213,0,0.007424200539616621,0,0.00010751874399947403,0,0.00103468165211279,0,0.005141157089026682,1,0.030634770300425634,0,0.006641154601350785,0,0.0018635852324402347,0,0.0036503868685937857,1,0.03504765144492164,1,0.012917661546446357,1,0.004564465079084701,0,0.003312295310548219,0,0.0,0,0.00236355652205264,0,0.01614762043218826,1,0.031153813657273044,0,0.0013749926209491448,0,0.0006219760208903968,exp1,5,15,1000.0,10
1,383.073,782.0220000000002,828.9840000000002,812.2320000000002,878.7120000000002,743.0850000000003,871.9199999999998,898.9019999999998,860.346,801.192,865.212,837.1589999999997,783.8549999999998,750.54,939.456,892.8089999999997,766.2660000000001,694.6469999999999,806.0309999999997,966.894,773.6490000000001,7167.357,4757.268,0.0,18311.268,184.374,264.0629999999999,601.053,20690.132999999998,08-05-26-123027,0,0.0028303862467278507,0,0.004552029822513126,0,0.004770539775014376,0,0.002344444649719113,0,0.013278283215451159,0,0.008036343045180527,0,0.0029744117657973246,0,0.0005210978235242192,0,0.005858833079828846,0,0.0006034972052743892,0,0.0013742478425797233,0,0.003890656979531809,0,0.0041289555646728815,0,0.004058420842895288,1,0.015234122899477703,0,0.006881316308048058,0,0.0072078779841318885,0,0.014642235438094203,0,0.00042287820234565565,0,0.03352173614149126,0,0.007093076538779858,0,0.003648528563783726,1,0.005240785847285073,0,0.0,1,0.0036997516836147215,0,0.019508587772651548,0,0.010089098556639031,0,0.0040457592187380376,0,0.0017128579160044233,exp1,5,15,1000.0,10
2,331.242,785.6489999999999,664.7160000000003,793.5300000000002,885.7139999999999,780.9509999999996,713.9310000000005,835.9080000000004,787.7760000000003,732.1529999999998,828.3209999999997,789.7530000000006,809.73,760.4459999999999,843.3539999999998,875.2560000000003,762.6390000000004,821.9789999999998,777.2759999999998,737.9580000000001,773.3969999999999,7089.984,4626.906,0.0,17303.613,247.251,269.6700000000001,593.2440000000001,19717.500000000004,08-05-26-123027,1,0.013392575725523964,0,0.005915033652044072,0,0.010256550112681423,0,0.000836081369231273,0,0.013334636322520521,0,0.008222310850360404,0,0.00761254508782197,0,0.002244823685591729,0,0.0005213738050474093,0,0.0010776531729814465,0,0.0006366717458818338,0,0.0010682679238692983,0,0.003358877575463992,0,0.004218078793455704,0,0.01091986630870423,0,0.0003837706438700461,0,0.007069110709151588,0,0.009836325260073109,0,0.00410436894631197,0,0.014734210863692893,0,0.005129704058742246,0,0.0026137424727020186,0,0.00399142008415132,0,0.0,0,0.000384258200057247,0,0.014972476553826025,0,0.0015770029757194715,0,0.004040945167963078,0,0.0011011102690955676,exp1,5,15,1000.0,10
3,381.441,819.8400000000001,896.9249999999997,841.6319999999996,840.0659999999998,725.8410000000003,901.4759999999995,833.7629999999995,833.9999999999995,744.2280000000001,774.4500000000003,802.1699999999996,819.681,727.2179999999998,888.0,836.4239999999995,825.7589999999996,790.4760000000001,874.3200000000002,867.75,745.029,7145.991,4658.817,0.0,18056.871,209.517,258.8280000000001,507.6749999999997,20188.842,08-05-26-123027,0,0.012409210652000069,0,0.008865620382054101,0,0.003828008130958127,0,0.0004943089480766161,0,0.01061451519282644,0,0.00463665665407581,0,0.0016681451619299792,0,0.0034945566121371285,0,0.0006365885326844734,0,0.001112165353157668,0,0.0029683080197834832,0,0.0028049504469162545,0,0.002365080551735149,0,0.006431903899557029,0,0.011438159572776219,0,0.000508481283844564,0,0.0112765778513291,0,0.009346056364632177,0,6.340828692527611e-05,0,0.013112663869673885,0,0.0023037479341636302,0,0.002492375616520409,0,0.0037141267680251278,0,0.0,0,0.0008350619210659993,0,0.020095630061399278,0,0.0005174263135848955,0,0.0033174174067418793,0,0.001353187364065006,exp1,5,15,1000.0,10
4,392.49,766.4009999999998,819.7050000000004,930.591,889.6770000000006,633.306,836.3160000000003,824.1870000000004,867.2370000000001,767.0940000000005,797.1659999999997,885.7860000000005,922.167,609.8490000000002,890.9279999999999,886.152,808.4940000000001,795.2400000000002,872.7870000000007,783.5039999999999,743.7810000000004,6995.249999999998,4589.037,0.0,18067.710000000003,311.9850000000001,297.963,590.127,19811.664,08-05-26-123027,0,0.010716125547239552,0,0.007798790157082042,0,0.0036799827697262255,0,0.0056136674043512635,0,0.011371958749897187,0,0.002456166115618136,0,0.0012250655400193877,0,0.0037685773728017846,0,0.002307135833448659,0,8.825772467047077e-05,0,0.004039601556811684,0,0.00015454033815590074,0,0.0032469086762970945,1,0.013790414248599975,0,0.011889504376376342,0,0.0034580283929399325,1,0.012865192120020158,0,0.008820500251602359,0,0.002286837657809515,0,0.008103874731333394,0,0.0005432659453744326,0,0.001566842323241724,0,0.002940039484401913,0,0.0,0,0.0011298169297624672,0,0.0071126521643676,0,0.008016101230293643,0,0.0020620333159040716,0,0.002243778744601882,exp1,5,15,1000.0,10
5,401.7750000000001,622.0560000000005,847.0799999999999,689.6610000000001,866.7629999999999,759.6750000000002,922.7489999999998,865.1219999999994,852.777,849.7289999999994,667.8389999999999,791.2679999999991,928.8330000000004,788.8980000000001,857.6790000000001,893.6790000000001,724.9439999999995,810.1050000000005,623.9549999999999,824.4660000000003,797.5229999999992,7088.376000000002,4610.697,0.0,17764.691999999992,216.5729999999999,184.173,578.6250000000005,19751.229,08-05-26-123027,0,0.011174663190152728,0,0.000556354032910128,0,0.005062753630160871,0,0.0023398942060177397,0,0.010189554967464959,0,0.005391226697413737,0,0.003654131283148926,0,0.01166937887246014,0,0.002530603018720351,0,0.008036820022930047,0,0.01086427699840617,0,0.003455021965049876,1,0.008733622586065776,0,0.013029142533892452,0,0.012006286653289677,0,0.013001646767534264,0,0.010851982513469333,0,0.009814856643177966,0,0.008170773117837149,0,0.0006704000678692812,0,0.0005448844924361151,0,0.0007536872152300034,0,0.0024349545860960775,0,0.0,0,0.00044029675978660143,0,0.016329509912666323,0,0.003699563211716328,0,0.002536148545082745,0,0.0036478676185880132,exp1,5,15,1000.0,10
6,404.8409999999999,759.375,928.3079999999992,764.1630000000005,673.8599999999997,760.5059999999994,834.768,820.1580000000004,693.6089999999995,762.0780000000004,974.076,871.344000000001,709.3799999999992,798.7950000000001,764.9579999999996,837.0569999999998,614.6550000000007,821.405999999999,844.6079999999993,862.3409999999994,650.1660000000002,6912.771,4350.078,0.0,17522.682000000008,306.4380000000001,336.0930000000001,589.5870000000004,19448.771999999997,08-05-26-123027,0,0.009001476294673821,0,0.0006460200143150463,0,0.0002919347840509845,0,0.0046748139143897305,0,0.00032284839535179355,0,0.004460933765887826,0,0.0018731841758005408,0,0.007756691846252967,0,0.005503085655416906,0,0.00594798533757121,0,0.005632448740323925,0,0.0018190756423615284,0,0.00508878253227904,0,0.010549884479413713,0,0.0036408212358738923,0,0.010294997540903073,0,0.002633761682592217,0,0.0036579778897717907,0,0.0063002931411490215,0,0.004338281282717266,0,0.006967218901773403,0,0.0006864573873263113,0,0.001111247216461636,0,0.0,0,0.0013256568712377848,0,0.0027980789918924387,0,0.015188320314702908,0,0.003324690062019686,1,0.006081186109914594,exp1,5,15,1000.0,10
7,409.8330000000001,735.3869999999997,795.0870000000004,784.308,831.7529999999997,781.2480000000005,957.1500000000004,695.9430000000002,824.8770000000004,614.6099999999997,972.7560000000004,902.8739999999998,842.9610000000002,822.1890000000003,792.4709999999995,674.9070000000002,712.3859999999995,781.4759999999997,801.6180000000004,806.616,757.0680000000002,6849.980999999996,4462.008,0.0,17709.333,255.558,204.9480000000001,607.4009999999998,19743.146999999997,08-05-26-123027,0,0.001155421016164726,0,0.003314529060176763,0,0.0059701612228174605,0,0.0051227664316171595,0,0.002276185801716346,0,0.004445073769293845,1,0.013532318933072662,0,0.0008020128913727165,0,0.0037154927186412445,0,0.00032925287435126016,0,0.001308864406869864,0,0.0035944064102587103,0,0.006715122644093574,0,0.00737763642102221,0,0.001201481089658063,0,0.0005684502258949953,0,9.025076646537733e-05,0,0.005625270627559353,0,0.0051200244942209705,0,0.0010491739001594336,0,0.007816488020357115,0,0.0020441087312625117,0,0.0025473374564925766,0,0.0,0,0.00041709051680186016,0,0.004099796787722265,0,0.004865186381348863,0,0.002351082678862859,0,0.00603091280557605,exp1,5,15,1000.0,10
8,411.3900000000003,773.4389999999994,884.6610000000001,819.3090000000002,832.4190000000008,727.1279999999997,844.7189999999991,813.9359999999997,873.7830000000004,742.1639999999998,879.5159999999996,857.8800000000001,773.3640000000005,857.469,855.3330000000005,866.3550000000005,745.6350000000002,923.0520000000006,786.0569999999998,905.451,797.3700000000008,7246.215000000004,4640.307000000001,0.0,18398.444999999996,267.99299999999994,329.0909999999999,624.1169999999993,20929.353000000003,08-05-26-123027,0,0.0018345079774359507,0,0.005778049975322025,0,0.005381085850010375,0,0.006207091311477092,0,0.002644503929715769,0,0.004376347117386742,0,0.010811571329396558,0,0.0001831649719389039,0,0.001798676196074489,0,0.0004394782358735083,0,0.006358166910577834,0,0.0062604461831698155,0,0.004448347796544266,0,0.0006855663587714556,0,0.0003645807493929121,0,0.002021541020885337,0,0.004433449649483084,0,0.0008141487242152023,0,0.00939962566026356,0,0.0007569177050404663,0,0.005094239570618053,0,0.0014771606168861862,0,0.002708540323373698,0,0.0,0,0.00034782776169092755,0,0.013263062687438626,0,0.016072107668689384,0,0.005656884468806245,0,0.004579361557123102,exp1,5,15,1000.0,10
9,364.7339999999994,871.9410000000007,698.2079999999987,867.6179999999995,797.2949999999992,766.1310000000003,786.4409999999989,815.0160000000005,823.0529999999999,727.1819999999998,848.4150000000009,797.0010000000002,792.539999999999,863.3759999999993,823.1670000000004,851.415,794.3009999999995,888.1560000000009,841.4340000000002,722.1090000000004,852.9839999999995,7396.080000000001,4890.341999999998,0.0,17843.679000000007,283.85400000000027,218.25300000000016,599.0219999999999,20868.686999999998,08-05-26-123027,0,0.0009364850155314797,0,0.00017472251719766185,0,0.00045476628387294826,0,0.009265962908458769,0,0.00709408746585391,0,0.002716595803796573,0,0.008420724619152026,0,0.000638860043529671,0,0.0039275408174727355,0,0.0025709291220535335,0,0.008821111193338477,0,0.0020115798891846837,0,0.001895655985291289,0,0.012340210385147904,0,0.003613055242794011,0,0.00033512844043104284,0,0.00520279493612219,0,0.005327221139203447,0,0.010919836114915427,0,0.002184250807764132,0,0.0005853939376612993,0,0.0007902584911663457,0,8.448684927156447e-05,0,0.0,0,0.0001538655956752899,0,0.008854898089570767,0,0.0033583935401449716,0,0.006268612777994675,0,0.0025073828082679828,exp1,5,15,1000.0,10
