round,api-gateway_energy,client1_energy,client10_energy,client11_energy,client12_energy,client13_energy,client14_energy,client15_energy,client16_energy,client17_energy,client18_energy,client19_energy,client2_energy,client20_energy,client3_energy,client4_energy,client5_energy,client6_energy,client7_energy,client8_energy,client9_energy,hfl-train_energy,hfl-train-model_energy,linkerd-init_energy,linkerd-proxy_energy,orchestrator_energy,policy-enforcer_energy,server_energy,sidecar_energy,global_round,timestamp,api-gateway_energy_Anomaly,api-gateway_energy_Anomaly_Score,client1_energy_Anomaly,client1_energy_Anomaly_Score,client10_energy_Anomaly,client10_energy_Anomaly_Score,client11_energy_Anomaly,client11_energy_Anomaly_Score,client12_energy_Anomaly,client12_energy_Anomaly_Score,client13_energy_Anomaly,client13_energy_Anomaly_Score,client14_energy_Anomaly,client14_energy_Anomaly_Score,client15_energy_Anomaly,client15_energy_Anomaly_Score,client16_energy_Anomaly,client16_energy_Anomaly_Score,client17_energy_Anomaly,client17_energy_Anomaly_Score,client18_energy_Anomaly,client18_energy_Anomaly_Score,client19_energy_Anomaly,client19_energy_Anomaly_Score,client2_energy_Anomaly,client2_energy_Anomaly_Score,client20_energy_Anomaly,client20_energy_Anomaly_Score,client3_energy_Anomaly,client3_energy_Anomaly_Score,client4_energy_Anomaly,client4_energy_Anomaly_Score,client5_energy_Anomaly,client5_energy_Anomaly_Score,client6_energy_Anomaly,client6_energy_Anomaly_Score,client7_energy_Anomaly,client7_energy_Anomaly_Score,client8_energy_Anomaly,client8_energy_Anomaly_Score,client9_energy_Anomaly,client9_energy_Anomaly_Score,hfl-train_energy_Anomaly,hfl-train_energy_Anomaly_Score,hfl-train-model_energy_Anomaly,hfl-train-model_energy_Anomaly_Score,linkerd-init_energy_Anomaly,linkerd-init_energy_Anomaly_Score,linkerd-proxy_energy_Anomaly,linkerd-proxy_energy_Anomaly_Score,orchestrator_energy_Anomaly,orchestrator_energy_Anomaly_Score,policy-enforcer_energy_Anomaly,policy-enforcer_energy_Anomaly_Score,server_energy_Anomaly,server_energy_Anomaly_Score,sidecar_energy_Anomaly,sidecar_energy_Anomaly_Score,exp,K,Z,sigma_ed,sigma_iid
0,406.368,758.4689999999998,875.8679999999999,853.4009999999998,891.3119999999999,814.6379999999999,820.965,706.1160000000001,848.1389999999999,700.8900000000001,809.847,866.694,816.7230000000002,774.0809999999999,855.2430000000002,697.0980000000002,762.0839999999998,830.5770000000002,839.6340000000001,979.635,818.4449999999999,7232.124,4668.693,0.0,18072.596999999998,275.391,211.236,585.519,20467.527000000002,0,08-05-26-123027,0,0.0,0,0.0,1,1.970329401355782,1,0.3736320284953145,1,0.24848957747536904,1,2.610257112008442,0,0.0,1,5.044045191512232,0,0.0,1,1.2582157646161867,0,0.0,1,0.8525221179383724,0,0.0,0,0.0,0,0.0,1,3.7133592044210557,0,0.0,0,0.0,1,0.11131067245834314,1,2.0263674013087583,1,2.3338819439748857,1,0.9956844316393862,1,1.1954561768054617,0,0.0,1,0.7431544441357987,1,0.894386596658012,1,3.963705463835465,0,0.0,0,0.0,exp1,5,15,1000.0,10
1,383.073,782.0220000000002,828.9840000000002,812.2320000000002,878.7120000000002,743.0850000000003,871.9199999999998,898.9019999999998,860.346,801.192,865.212,837.1589999999997,783.8549999999998,750.54,939.456,892.8089999999997,766.2660000000001,694.6469999999999,806.0309999999997,966.894,773.6490000000001,7167.357,4757.268,0.0,18311.268,184.374,264.0629999999999,601.053,20690.132999999998,1,08-05-26-123027,0,0.0,0,0.0,1,0.6323865873072831,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3489446304656185,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7091045754866041,0,0.0,0,0.0,1,3.1444772131860237,0,0.0,1,1.8644836630139718,1,0.8036377959058463,1,0.5281737124467933,1,2.248069393691522,0,0.0,1,2.114449043723317,0,0.0,1,0.8854268401837739,0,0.0,0,0.0,exp1,5,15,1000.0,10
2,331.242,785.6489999999999,664.7160000000003,793.5300000000002,885.7139999999999,780.9509999999996,713.9310000000005,835.9080000000004,787.7760000000003,732.1529999999998,828.3209999999997,789.7530000000006,809.73,760.4459999999999,843.3539999999998,875.2560000000003,762.6390000000004,821.9789999999998,777.2759999999998,737.9580000000001,773.3969999999999,7089.984,4626.906,0.0,17303.613,247.251,269.6700000000001,593.2440000000001,19717.500000000004,2,08-05-26-123027,1,1.4829710346661935,1,0.4731293294753349,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.8194542517278753,0,0.0,0,0.0,1,0.28781748525661843,0,0.0,1,1.5661376496940809,0,0.0,0,0.0,1,0.7362507040170025,0,0.0,0,0.0,0,0.0,exp1,5,15,1000.0,10
3,381.441,819.8400000000001,896.9249999999997,841.6319999999996,840.0659999999998,725.8410000000003,901.4759999999995,833.7629999999995,833.9999999999995,744.2280000000001,774.4500000000003,802.1699999999996,819.681,727.2179999999998,888.0,836.4239999999995,825.7589999999996,790.4760000000001,874.3200000000002,867.75,745.029,7145.991,4658.817,0.0,18056.871,209.517,258.8280000000001,507.6749999999997,20188.842,3,08-05-26-123027,1,1.290233816071523,1,1.568470491868408,0,0.0,0,0.0,0,0.0,1,0.11481262040560014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9456160513459035,1,1.6842836972054767,0,0.0,1,0.12498629099802328,0,0.0,0,0.0,1,1.4147847630978638,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,15,1000.0,10
4,392.49,766.4009999999998,819.7050000000004,930.591,889.6770000000006,633.306,836.3160000000003,824.1870000000004,867.2370000000001,767.0940000000005,797.1659999999997,885.7860000000005,922.167,609.8490000000002,890.9279999999999,886.152,808.4940000000001,795.2400000000002,872.7870000000007,783.5039999999999,743.7810000000004,6995.249999999998,4589.037,0.0,18067.710000000003,311.9850000000001,297.963,590.127,19811.664,4,08-05-26-123027,1,0.9583931571733548,1,1.1724329692930289,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.118929891769787,0,0.0,0,0.0,1,1.3148296087239355,1,1.5393842106349758,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9922706308045537,0,0.0,0,0.0,1,0.5527316797546338,0,0.0,0,0.0,0,0.0,exp1,5,15,1000.0,10
5,401.7750000000001,622.0560000000005,847.0799999999999,689.6610000000001,866.7629999999999,759.6750000000002,922.7489999999998,865.1219999999994,852.777,849.7289999999994,667.8389999999999,791.2679999999991,928.8330000000004,788.8980000000001,857.6790000000001,893.6790000000001,724.9439999999995,810.1050000000005,623.9549999999999,824.4660000000003,797.5229999999992,7088.376000000002,4610.697,0.0,17764.691999999992,216.5729999999999,184.173,578.6250000000005,19751.229,5,08-05-26-123027,1,0.5857646066852737,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2007392570696247,1,0.6991932421554714,0,0.0,0,0.0,1,0.6838267954577113,1,1.2768972222319013,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7963960376800394,0,0.0,0,0.0,1,1.1701547375442358,0,0.0,0,0.0,0,0.0,exp1,5,15,1000.0,10
6,404.8409999999999,759.375,928.3079999999992,764.1630000000005,673.8599999999997,760.5059999999994,834.768,820.1580000000004,693.6089999999995,762.0780000000004,974.076,871.344000000001,709.3799999999992,798.7950000000001,764.9579999999996,837.0569999999998,614.6550000000007,821.405999999999,844.6079999999993,862.3409999999994,650.1660000000002,6912.771,4350.078,0.0,17522.682000000008,306.4380000000001,336.0930000000001,589.5870000000004,19448.771999999997,6,08-05-26-123027,1,0.2767491219485998,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3441522556364194,1,0.38417626573768104,0,0.0,0,0.0,1,0.9813083340690844,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3361688367104849,exp1,5,15,1000.0,10
7,409.8330000000001,735.3869999999997,795.0870000000004,784.308,831.7529999999997,781.2480000000005,957.1500000000004,695.9430000000002,824.8770000000004,614.6099999999997,972.7560000000004,902.8739999999998,842.9610000000002,822.1890000000003,792.4709999999995,674.9070000000002,712.3859999999995,781.4759999999997,801.6180000000004,806.616,757.0680000000002,6849.980999999996,4462.008,0.0,17709.333,255.558,204.9480000000001,607.4009999999998,19743.146999999997,7,08-05-26-123027,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.093818540521533,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.49169237234025664,exp1,5,15,1000.0,10
8,411.3900000000003,773.4389999999994,884.6610000000001,819.3090000000002,832.4190000000008,727.1279999999997,844.7189999999991,813.9359999999997,873.7830000000004,742.1639999999998,879.5159999999996,857.8800000000001,773.3640000000005,857.469,855.3330000000005,866.3550000000005,745.6350000000002,923.0520000000006,786.0569999999998,905.451,797.3700000000008,7246.215000000004,4640.307000000001,0.0,18398.444999999996,267.99299999999994,329.0909999999999,624.1169999999993,20929.353000000003,8,08-05-26-123027,1,0.1658204179851972,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.12803957542313016,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,15,1000.0,10
9,364.7339999999994,871.9410000000007,698.2079999999987,867.6179999999995,797.2949999999992,766.1310000000003,786.4409999999989,815.0160000000005,823.0529999999999,727.1819999999998,848.4150000000009,797.0010000000002,792.539999999999,863.3759999999993,823.1670000000004,851.415,794.3009999999995,888.1560000000009,841.4340000000002,722.1090000000004,852.9839999999995,7396.080000000001,4890.341999999998,0.0,17843.679000000007,283.85400000000027,218.25300000000016,599.0219999999999,20868.686999999998,9,08-05-26-123027,0,0.0,1,0.27470742458721786,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.16684361081209986,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,exp1,5,15,1000.0,10
