exp,K,Z,sigma_ed,sigma_iid,rank,root_cause
exp1,5,15,1000.0,10,1,orchestrator_energy
exp1,5,15,1000.0,10,2,hfl-train_energy
exp1,5,30,1000.0,10,1,orchestrator_energy
exp1,5,30,1000.0,10,2,hfl-train_energy
exp1,5,60,1000.0,10,1,api-gateway_energy
exp1,5,60,1000.0,10,2,orchestrator_energy
exp1,5,60,1000.0,10,3,hfl-train-model_energy
exp1,5,90,1000.0,10,1,hfl-train-model_energy
exp1,5,90,1000.0,10,2,orchestrator_energy
exp1,5,120,1000.0,10,1,hfl-train-model_energy
exp1,5,120,1000.0,10,2,api-gateway_energy
exp1,5,150,1000.0,10,1,hfl-train-model_energy
exp1,5,150,1000.0,10,2,hfl-train_energy
exp1,5,150,1000.0,10,3,api-gateway_energy
exp1,5,190,1000.0,10,1,orchestrator_energy
exp1,5,190,1000.0,10,2,hfl-train_energy
exp1,5,190,1000.0,10,3,hfl-train-model_energy
exp1,5,230,1000.0,10,1,hfl-train_energy
exp1,5,230,1000.0,10,2,hfl-train-model_energy
exp1,5,260,1000.0,10,1,orchestrator_energy
exp1,5,260,1000.0,10,2,api-gateway_energy
exp1,5,300,1000.0,10,1,api-gateway_energy
exp1,5,300,1000.0,10,2,hfl-train_energy
exp1,5,330,1000.0,10,1,hfl-train_energy
exp1,5,330,1000.0,10,2,hfl-train-model_energy
exp1,5,330,1000.0,10,3,api-gateway_energy
exp1,5,360,1000.0,10,1,hfl-train-model_energy
exp1,5,400,1000.0,10,1,hfl-train-model_energy
