round,namespace,pod_name,container_name,joules
0,client20,client20-65f8864f77-l5kdx,linkerd-init,0.0
0,server,server-656f98b57f-rlwxb,linkerd-proxy,541.310999999987
0,server,server-656f98b57f-rlwxb,linkerd-init,0.0
0,client8,client8-5845965f99-vwgpx,linkerd-proxy,702.2189999999246
0,client8,client8-5845965f99-vwgpx,client8,702.5700000001816
0,client8,client8-5845965f99-vwgpx,linkerd-init,0.0
0,client8,client8-5845965f99-vwgpx,sidecar,701.0160000000615
0,client14,client14-856b5b5576-k4dxn,client14,709.1489999999758
0,client14,client14-856b5b5576-k4dxn,linkerd-proxy,708.984000000055
0,client14,client14-856b5b5576-k4dxn,linkerd-init,0.0
0,client14,client14-856b5b5576-k4dxn,sidecar,707.5829999998678
0,client10,client10-694b6b97b4-fmmw2,sidecar,654.6900000000605
0,client10,client10-694b6b97b4-fmmw2,client10,656.7989999998827
0,client10,client10-694b6b97b4-fmmw2,linkerd-init,0.0
0,client10,client10-694b6b97b4-fmmw2,linkerd-proxy,656.7090000000317
0,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-proxy,337.4100000000326
0,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-proxy,337.3169999999809
0,api-gateway,api-gateway-6bf76d45b7-k9j8g,linkerd-init,0.0
0,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-proxy,337.42800000007264
0,orchestrator,orchestrator-555f7b7c9d-vv2z2,linkerd-init,0.0
0,orchestrator,policy-enforcer-cb8dccbd8-z7pmg,linkerd-init,0.0
0,client6,client6-785d875985-p6wj7,linkerd-proxy,723.8850000000093
0,client6,client6-785d875985-p6wj7,sidecar,721.7099999999627
0,client6,client6-785d875985-p6wj7,client6,723.75
0,client6,client6-785d875985-p6wj7,linkerd-init,0.0
0,client4,client4-744474fb99-7r6nj,client4,715.4610000000102
0,client4,client4-744474fb99-7r6nj,sidecar,713.2800000000279
0,client4,client4-744474fb99-7r6nj,linkerd-proxy,715.3710000000428
0,client4,client4-744474fb99-7r6nj,linkerd-init,0.0
0,client17,client17-69b85b5ccf-vqwrf,linkerd-init,0.0
0,client17,client17-69b85b5ccf-vqwrf,linkerd-proxy,887.8289999999106
0,client15,client15-79c969ddf-jsj98,linkerd-init,0.0
0,client15,client15-79c969ddf-jsj98,linkerd-proxy,902.8320000000531
0,client9,client9-d68fb99b4-27ck8,client9,932.5680000000866
0,client9,client9-d68fb99b4-27ck8,sidecar,930.7110000001267
0,client9,client9-d68fb99b4-27ck8,linkerd-proxy,932.2619999998715
0,client9,client9-d68fb99b4-27ck8,linkerd-init,0.0
0,client5,client5-7d5ff7f8b4-vtj9q,linkerd-proxy,875.5470000000205
