,round,namespace,pod_name,container_name,joules
0,0,client8,client8-5845965f99-ph6gk,client8,682.5
1,0,client8,client8-5845965f99-ph6gk,linkerd-proxy,681.9689999999999
2,0,client8,client8-5845965f99-ph6gk,linkerd-init,0.0
3,0,client8,client8-5845965f99-ph6gk,sidecar,616.491
4,0,client14,client14-856b5b5576-4xnjh,linkerd-init,0.0
5,0,client10,client10-694b6b97b4-bwjx6,linkerd-init,0.0
6,0,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,linkerd-init,0.0
7,0,orchestrator,orchestrator-555f7b7c9d-f5qqb,linkerd-init,0.0
8,0,orchestrator,policy-enforcer-cb8dccbd8-5w5g5,linkerd-proxy,334.203
9,0,api-gateway,api-gateway-6bf76d45b7-t68sl,linkerd-proxy,352.014
10,0,api-gateway,api-gateway-6bf76d45b7-t68sl,linkerd-init,0.0
11,0,orchestrator,orchestrator-555f7b7c9d-f5qqb,linkerd-proxy,334.22700000000003
12,0,client6,client6-785d875985-rf96j,client6,894.951
13,0,client6,client6-785d875985-rf96j,linkerd-init,0.0
14,0,client6,client6-785d875985-rf96j,sidecar,892.197
15,0,client6,client6-785d875985-rf96j,linkerd-proxy,894.3000000000001
16,0,client4,client4-744474fb99-t52mp,client4,789.819
17,0,client4,client4-744474fb99-t52mp,linkerd-init,0.0
18,0,client4,client4-744474fb99-t52mp,linkerd-proxy,789.5579999999999
19,0,client4,client4-744474fb99-t52mp,sidecar,787.356
20,0,client17,client17-69b85b5ccf-59527,linkerd-init,0.0
21,0,client17,client17-69b85b5ccf-59527,sidecar,595.287
22,0,client17,client17-69b85b5ccf-59527,client17,778.8540000000002
23,0,client17,client17-69b85b5ccf-59527,linkerd-proxy,775.0139999999999
24,0,client15,client15-79c969ddf-7jphg,linkerd-proxy,738.336
25,0,client15,client15-79c969ddf-7jphg,sidecar,736.8239999999998
26,0,client15,client15-79c969ddf-7jphg,linkerd-init,0.0
27,0,client15,client15-79c969ddf-7jphg,client15,738.75
28,0,client9,client9-d68fb99b4-fqngv,client9,785.9039999999999
29,0,client9,client9-d68fb99b4-fqngv,sidecar,668.967
30,0,client9,client9-d68fb99b4-fqngv,linkerd-init,0.0
31,0,client9,client9-d68fb99b4-fqngv,linkerd-proxy,783.9449999999999
32,0,client5,client5-7d5ff7f8b4-v5j4z,linkerd-init,0.0
33,0,client5,client5-7d5ff7f8b4-v5j4z,sidecar,639.3420000000001
34,0,client5,client5-7d5ff7f8b4-v5j4z,client5,736.9290000000002
35,0,client5,client5-7d5ff7f8b4-v5j4z,linkerd-proxy,733.3980000000001
36,0,client12,client12-79bc8d5846-bcn9p,sidecar,750.9929999999999
37,0,client12,client12-79bc8d5846-bcn9p,client12,828.06
38,0,client12,client12-79bc8d5846-bcn9p,linkerd-proxy,827.94
39,0,client12,client12-79bc8d5846-bcn9p,linkerd-init,0.0
40,0,client16,client16-6dc7f87f54-zmq4w,client16,889.137
41,0,client16,client16-6dc7f87f54-zmq4w,sidecar,886.7370000000001
42,0,client16,client16-6dc7f87f54-zmq4w,linkerd-proxy,889.1190000000001
43,0,client16,client16-6dc7f87f54-zmq4w,linkerd-init,0.0
44,0,client2,client2-86cd6d8cf7-m8tdw,client2,834.6569999999998
45,0,client2,client2-86cd6d8cf7-m8tdw,linkerd-proxy,834.45
46,0,client2,client2-86cd6d8cf7-m8tdw,linkerd-init,0.0
47,0,client2,client2-86cd6d8cf7-m8tdw,sidecar,832.9529999999997
48,0,client3,client3-58c68898cd-mnfzb,client3,797.1989999999998
49,0,client3,client3-58c68898cd-mnfzb,linkerd-init,0.0
50,0,client3,client3-58c68898cd-mnfzb,sidecar,794.928
51,0,client3,client3-58c68898cd-mnfzb,linkerd-proxy,796.9590000000001
52,0,client18,client18-69db77c748-s7vbm,client18,765.516
53,0,client18,client18-69db77c748-s7vbm,linkerd-proxy,765.393
54,0,client18,client18-69db77c748-s7vbm,sidecar,764.0789999999998
55,0,client18,client18-69db77c748-s7vbm,linkerd-init,0.0
56,0,client7,client7-544486cc98-m7xsp,linkerd-proxy,641.5830000000001
57,0,client7,client7-544486cc98-m7xsp,sidecar,640.6110000000001
58,0,client7,client7-544486cc98-m7xsp,client7,641.988
59,0,client7,client7-544486cc98-m7xsp,linkerd-init,0.0
