exp,K,Z,sigma_ed,sigma_iid,category,energy_mean_J,energy_std_J,energy_min_J,energy_max_J,energy_cv
exp1,5,15,1000.0,10,Agent,16097.954080000001,360.4644161148517,15130.812000000002,16832.877,0.02239193964173935
exp1,5,15,1000.0,10,Linkerd proxy,17854.07204,353.10218821677074,16958.190000000002,18701.604000000003,0.019777123528217307
exp1,5,15,1000.0,10,Orchestration,924.0925599999999,83.77771657096123,737.5439999999999,1097.3310000000001,0.09065944278456396
exp1,5,15,1000.0,10,Other,575.84312,42.457171960586386,473.72100000000046,651.3780000000002,0.07373044929422164
exp1,5,15,1000.0,10,Sidecar,20569.6832,501.4311730406747,19448.771999999997,21860.62500000003,0.024377194736799578
exp1,5,15,1000.0,10,Training,11570.773480000002,301.07306588620446,10585.769999999993,12286.421999999999,0.026020133088475637
exp1,5,30,1000.0,10,Agent,15513.185199999998,513.226059486882,14453.931,16720.734,0.03308321617193625
exp1,5,30,1000.0,10,Linkerd proxy,17194.53408,446.4590207559902,16067.745,18215.475,0.02596517118049122
exp1,5,30,1000.0,10,Orchestration,900.7233600000001,113.01303861844472,685.1609999999996,1165.7369999999999,0.1254691991317342
exp1,5,30,1000.0,10,Other,559.74716,54.02662431242291,457.8719999999994,639.5280000000002,0.09651969348522092
exp1,5,30,1000.0,10,Sidecar,19712.61432,606.6121937545048,18109.545000000002,20950.182000000004,0.030772792685293343
exp1,5,30,1000.0,10,Training,9857.5002,313.6745275880203,9287.877,10550.846999999994,0.03182089994662341
exp1,5,60,1000.0,10,Agent,15148.46812,539.7192849554899,14141.391,16136.082,0.03562863787150314
exp1,5,60,1000.0,10,Linkerd proxy,16795.79252,435.0525803084138,15912.428999999996,17649.225000000002,0.02590247407440669
exp1,5,60,1000.0,10,Orchestration,879.0643600000001,110.19216616397546,677.058,1082.964,0.1253516479316434
exp1,5,60,1000.0,10,Other,537.67616,49.76415925088079,462.6930000000002,625.1459999999997,0.09255414867358223
exp1,5,60,1000.0,10,Sidecar,19396.56916,564.6647045705363,18245.994000000002,20802.945000000007,0.029111576377898796
exp1,5,60,1000.0,10,Training,8937.85304,317.97517306304155,8369.580000000002,9932.751,0.03557623644514987
exp1,5,90,1000.0,10,Agent,14968.2868,521.6578646210583,14074.839000000002,15979.119000000017,0.03485087315544076
exp1,5,90,1000.0,10,Linkerd proxy,16584.76076,441.74438909135813,15705.828000000012,17483.817000000003,0.026635559926603252
exp1,5,90,1000.0,10,Orchestration,854.4944,98.40641327279555,676.335,1049.718,0.11516332145979605
exp1,5,90,1000.0,10,Other,531.5876,52.886953354633036,447.1799999999985,641.2619999999988,0.09948868889084893
exp1,5,90,1000.0,10,Sidecar,18969.0282,636.9645307419576,17684.489999999998,20233.119000000017,0.033579186241178005
exp1,5,90,1000.0,10,Training,8627.589399999999,328.20819771532337,7901.438999999993,9589.728000000001,0.03804170348154531
exp1,5,120,1000.0,10,Agent,14949.806999999999,511.0500263876435,13839.017999999998,16043.508,0.034184389563533736
exp1,5,120,1000.0,10,Linkerd proxy,16588.281039999998,423.4954726331104,15681.507000000005,17574.771000000004,0.02552979851329493
exp1,5,120,1000.0,10,Orchestration,869.58916,104.86847971575159,659.2530000000006,1080.5370000000012,0.12059543119851171
exp1,5,120,1000.0,10,Other,539.51468,50.92788729204616,460.089,647.0460000000003,0.09439573968968955
exp1,5,120,1000.0,10,Sidecar,18994.43388,580.5508126203371,17666.586,20096.46,0.030564259839911432
exp1,5,120,1000.0,10,Training,8525.68128,320.4633159371294,7899.572999999995,9329.510999999999,0.03758800093652215
exp1,5,150,1000.0,10,Agent,14851.150959999999,497.38910879279257,14017.47,15980.7,0.03349162028804753
exp1,5,150,1000.0,10,Linkerd proxy,16459.82504,423.18075517380396,15674.805000000002,17500.119000000002,0.02570991818840159
exp1,5,150,1000.0,10,Orchestration,846.3376,100.77890208661633,679.2330000000006,1103.6460000000002,0.11907647974828997
exp1,5,150,1000.0,10,Other,530.09704,50.0667589533512,461.9580000000005,652.344,0.09444828998356829
exp1,5,150,1000.0,10,Sidecar,18852.591279999997,628.7942210323797,17708.622,20258.292000000005,0.033353198597130984
exp1,5,150,1000.0,10,Training,8421.45456,293.8828770239918,7838.648999999996,9067.152,0.03489692605121553
exp1,5,190,1000.0,10,Agent,14897.468079999999,532.2820574563772,13937.183999999994,16146.243,0.03572969947631378
exp1,5,190,1000.0,10,Linkerd proxy,16500.015040000002,454.531656342962,15669.560999999998,17605.653,0.027547348001869573
exp1,5,190,1000.0,10,Orchestration,837.11772,99.95975458566288,663.4589999999994,1100.9250000000002,0.11940943573104973
exp1,5,190,1000.0,10,Other,523.07152,51.618313650727444,448.2689999999984,637.8600000000001,0.0986830895528922
exp1,5,190,1000.0,10,Sidecar,18931.117319999998,574.8113768745675,17434.788,20356.631999999998,0.030363309632406184
exp1,5,190,1000.0,10,Training,8345.83252,374.24300516510567,7615.118999999993,9471.885,0.04484190214316758
exp1,5,230,1000.0,10,Agent,14907.87316,501.42596216800536,14000.669999999998,15938.838000000002,0.03363497641725343
exp1,5,230,1000.0,10,Linkerd proxy,16517.62344,429.82512908976634,15744.009000000004,17466.357,0.02602221382822409
exp1,5,230,1000.0,10,Orchestration,858.1831999999999,107.1358685421007,703.074,1095.2430000000004,0.12484032377014687
exp1,5,230,1000.0,10,Other,529.3092,49.1941492294094,454.6440000000007,650.0970000000007,0.09294028750947347
exp1,5,230,1000.0,10,Sidecar,18937.8658,584.6071143234306,17685.741,20431.530000000006,0.030869746385225234
exp1,5,230,1000.0,10,Training,8327.25856,318.9616708255356,7647.600000000006,9149.232,0.03830332257937426
exp1,5,260,1000.0,10,Agent,14912.8328,532.0238991522987,13908.612,16036.085999999996,0.03567557594773668
exp1,5,260,1000.0,10,Linkerd proxy,16514.44152,466.2200612426977,15689.048999999992,17534.56800000001,0.028231052238616525
exp1,5,260,1000.0,10,Orchestration,855.13472,101.17872574011562,685.9859999999994,1145.7060000000001,0.11831904771696748
exp1,5,260,1000.0,10,Other,521.36316,50.13122584885778,455.7330000000011,644.5919999999987,0.09615413917787705
exp1,5,260,1000.0,10,Sidecar,18871.03504,643.3443436355661,17304.192000000003,20153.022000000004,0.034091629964752915
exp1,5,260,1000.0,10,Training,8274.66408,363.72729235479505,7616.018999999998,9074.531999999997,0.043956744205958756
exp1,5,300,1000.0,10,Agent,14802.634320000001,516.9508217782877,14051.040000000005,16197.312,0.03492289349334461
exp1,5,300,1000.0,10,Linkerd proxy,16413.4958,441.6586900350309,15667.533,17716.325999999986,0.026908264724144315
exp1,5,300,1000.0,10,Orchestration,856.86808,100.12971595449896,690.6600000000008,1062.297,0.11685546269210888
exp1,5,300,1000.0,10,Other,527.8250800000001,50.88646646019274,461.8230000000003,633.5429999999997,0.0964078221902467
exp1,5,300,1000.0,10,Sidecar,18882.191319999998,654.2637086860095,17717.271,21039.462000000003,0.034649776479757095
exp1,5,300,1000.0,10,Training,8240.999399999999,323.6126406238491,7550.6939999999995,9228.471000000001,0.03926861596711791
exp1,5,330,1000.0,10,Agent,14333.44572,1197.7270095434208,10909.961999999996,15911.655,0.08356169430161423
exp1,5,330,1000.0,10,Linkerd proxy,15877.936,1282.0276304752879,12112.316999999994,17374.629,0.08074271306266054
exp1,5,330,1000.0,10,Orchestration,822.586,119.48907267284412,573.5760000000009,1094.6819999999998,0.14526027998634078
exp1,5,330,1000.0,10,Other,510.41831999999994,66.35723712707959,393.0480000000007,769.851,0.13000559448391194
exp1,5,330,1000.0,10,Sidecar,18215.5464,1401.8203936155815,14019.257999999998,20247.255000000005,0.07695736174104453
exp1,5,330,1000.0,10,Training,7968.032079999999,660.1656965596404,6182.468999999996,9145.944,0.08285178698221814
exp1,5,360,1000.0,10,Agent,14873.92116,473.92229022853655,13815.413999999992,15979.443000000001,0.03186263293522369
exp1,5,360,1000.0,10,Linkerd proxy,16477.232320000003,401.3062527432663,15383.169,17456.904000000006,0.024355197823857973
exp1,5,360,1000.0,10,Orchestration,825.16516,106.75898351073006,662.4840000000002,1077.000000000001,0.12937892762065967
exp1,5,360,1000.0,10,Other,520.8772799999999,47.78503499133639,461.2980000000002,609.7140000000002,0.09173952642230122
exp1,5,360,1000.0,10,Sidecar,18942.61588,561.6525108066644,17815.623,20090.024999999994,0.029650208522660725
exp1,5,360,1000.0,10,Training,8207.686,305.09244657329776,7485.186000000002,9022.076999999983,0.03717155439100592
exp1,5,400,1000.0,10,Agent,14763.76496,486.6907967286725,13896.924000000003,16049.376000000004,0.03296522249218146
exp1,5,400,1000.0,10,Linkerd proxy,16357.365440000001,396.6262499236097,15684.042000000005,17525.511,0.02424756305521592
exp1,5,400,1000.0,10,Orchestration,829.77316,87.48108566211731,676.4940000000001,1060.2809999999981,0.10542771190877916
exp1,5,400,1000.0,10,Other,521.1538,48.977825337981706,450.756,657.8280000000004,0.09397959937734639
exp1,5,400,1000.0,10,Sidecar,18707.81216,600.7079975177727,17660.877,20731.604999999996,0.032110007967803576
exp1,5,400,1000.0,10,Training,8169.7802,303.0118634424924,7579.892999999998,8883.081000000002,0.037089353204691165
exp2,5,100,1000.0,10,Agent,15025.51336,549.4176681538733,13884.231000000003,16162.485,0.036565650370156355
exp2,5,100,1000.0,10,Linkerd proxy,16638.48168,468.96764050550547,15662.394000000004,17680.545000000002,0.028185723284428043
exp2,5,100,1000.0,10,Orchestration,868.47028,94.64236016175907,683.3130000000001,1078.1490000000003,0.10897593428500406
exp2,5,100,1000.0,10,Other,521.63836,51.86598072518109,449.121000000001,614.5200000000009,0.09942900043850511
exp2,5,100,1000.0,10,Sidecar,19101.13176,709.0030352453578,17469.089999999997,21047.057999999994,0.03711837833243436
exp2,5,100,1000.0,10,Training,8669.25928,354.67473251777545,7846.188000000009,9615.263999999996,0.040911768936939145
exp2,10,100,1000.0,10,Agent,15292.715199999999,449.4312164671405,14293.446000000007,16055.760000000002,0.029388582118310847
exp2,10,100,1000.0,10,Linkerd proxy,17001.2222,360.11030415250667,16075.751999999997,17700.975,0.021181436247125027
exp2,10,100,1000.0,10,Orchestration,914.9854399999999,110.0675369536065,688.8870000000015,1097.4000000000003,0.12029430430456524
exp2,10,100,1000.0,10,Other,575.63472,49.039868571414566,473.607,647.2530000000006,0.08519268707664918
exp2,10,100,1000.0,10,Sidecar,22248.00984,717.9314258088617,20373.162,23676.005999999994,0.03226946729042177
exp2,10,100,1000.0,10,Training,16692.1478,368.31478024136146,15772.410000000009,17400.255,0.022065152109506332
exp3,5,30,1.7,3,Agent,14848.16664,514.204166407312,13956.423000000003,15895.233000000007,0.034630818664311
exp3,5,30,1.7,3,Linkerd proxy,16463.349000000002,433.86274541370676,15746.900999999998,17398.539000000008,0.026353249597861693
exp3,5,30,1.7,3,Orchestration,849.40908,98.81699376444394,669.3870000000001,1153.839,0.11633616368269095
exp3,5,30,1.7,3,Other,529.5198,48.86554370205338,462.2460000000001,626.2139999999999,0.09228275071499381
exp3,5,30,1.7,3,Sidecar,18997.39736,645.6102051501056,17594.052000000003,20496.531000000003,0.03398413966480857
exp3,5,30,1.7,3,Training,8630.098,323.84158927863734,7966.8179999999975,9490.136999999999,0.037524671131038995
exp3,5,30,1000.0,3,Agent,14935.238760000002,540.7294710703285,14019.515999999992,15960.570000000002,0.03620494320576422
exp3,5,30,1000.0,3,Linkerd proxy,16554.189799999996,447.0433289526966,15793.871999999998,17468.013000000003,0.027004844957902844
exp3,5,30,1000.0,3,Orchestration,867.4696,106.06352893673444,672.7019999999995,1146.051,0.12226771858833375
