,namespace,pod_name,container_name,joules
0,client4,client4-744474fb99-ncjfh,linkerd-init,0.0
1,client6,client6-785d875985-cfszb,sidecar,628.3525
2,client6,client6-785d875985-cfszb,linkerd-init,0.0
3,client6,client6-785d875985-cfszb,linkerd-proxy,629.3034
4,client6,client6-785d875985-cfszb,client6,629.7547999999999
5,client13,client13-7bf86f4f87-dzs7m,linkerd-proxy,625.6071
6,client13,client13-7bf86f4f87-dzs7m,sidecar,624.2196
7,client13,client13-7bf86f4f87-dzs7m,linkerd-init,0.0
8,client13,client13-7bf86f4f87-dzs7m,client13,627.7531
9,client19,client19-56fccdb4d9-dhbzw,linkerd-proxy,621.6333000000001
10,client19,client19-56fccdb4d9-dhbzw,client19,621.7369
11,client19,client19-56fccdb4d9-dhbzw,sidecar,620.3938
12,client19,client19-56fccdb4d9-dhbzw,linkerd-init,0.0
13,client1,client1-7b9db886dd-7dgxg,linkerd-proxy,658.3446999999998
14,client1,client1-7b9db886dd-7dgxg,client1,660.3056999999999
15,client1,client1-7b9db886dd-7dgxg,sidecar,656.8054999999998
16,client1,client1-7b9db886dd-7dgxg,linkerd-init,0.0
17,client17,client17-69b85b5ccf-fqh4b,sidecar,666.2664000000001
18,client17,client17-69b85b5ccf-fqh4b,client17,691.9111
19,client17,client17-69b85b5ccf-fqh4b,linkerd-init,0.0
20,client17,client17-69b85b5ccf-fqh4b,linkerd-proxy,691.7372
21,client10,client10-694b6b97b4-kgddc,linkerd-init,0.0
22,client10,client10-694b6b97b4-kgddc,linkerd-proxy,681.1885000000001
23,client8,client8-5845965f99-v9zrd,client8,670.6398
24,client8,client8-5845965f99-v9zrd,sidecar,569.7852
25,client8,client8-5845965f99-v9zrd,linkerd-init,0.0
26,client8,client8-5845965f99-v9zrd,linkerd-proxy,670.3105
27,client2,client2-86cd6d8cf7-gzfnv,linkerd-init,0.0
28,client2,client2-86cd6d8cf7-gzfnv,sidecar,703.5069
29,client2,client2-86cd6d8cf7-gzfnv,client2,707.0996
30,client2,client2-86cd6d8cf7-gzfnv,linkerd-proxy,705.2089
31,client20,client20-65f8864f77-k5rfc,client20,590.7124
32,client20,client20-65f8864f77-k5rfc,sidecar,587.2233
33,client20,client20-65f8864f77-k5rfc,linkerd-init,0.0
34,client20,client20-65f8864f77-k5rfc,linkerd-proxy,588.4887
35,client7,client7-544486cc98-km2hn,linkerd-proxy,614.3221
36,client7,client7-544486cc98-km2hn,linkerd-init,0.0
37,client7,client7-544486cc98-km2hn,sidecar,613.3268
38,client7,client7-544486cc98-km2hn,client7,614.7661
39,client9,client9-d68fb99b4-56ncf,sidecar,614.9474
40,client9,client9-d68fb99b4-56ncf,client9,618.7436
41,client9,client9-d68fb99b4-56ncf,linkerd-proxy,616.4644000000001
42,client9,client9-d68fb99b4-56ncf,linkerd-init,0.0
43,client14,client14-856b5b5576-czd7b,client14,664.6828
44,client14,client14-856b5b5576-czd7b,linkerd-init,0.0
45,client14,client14-856b5b5576-czd7b,linkerd-proxy,664.4645
