,namespace,pod_name,container_name,joules
0,server,server-656f98b57f-nvr9p,linkerd-init,0.0
1,client4,client4-744474fb99-bv4sz,linkerd-proxy,485.4751999999999
2,client4,client4-744474fb99-bv4sz,linkerd-init,0.0
3,client4,client4-744474fb99-bv4sz,client4,487.7973333333334
4,client4,client4-744474fb99-bv4sz,sidecar,484.24320000000006
5,client6,client6-785d875985-5llqk,client6,480.6032
6,client6,client6-785d875985-5llqk,linkerd-proxy,478.88213333333334
7,client6,client6-785d875985-5llqk,linkerd-init,0.0
8,client6,client6-785d875985-5llqk,sidecar,478.08320000000003
9,client13,client13-7bf86f4f87-74qvl,sidecar,431.8943999999999
10,client13,client13-7bf86f4f87-74qvl,client13,434.7056
11,client13,client13-7bf86f4f87-74qvl,linkerd-init,0.0
12,client13,client13-7bf86f4f87-74qvl,linkerd-proxy,432.81280000000004
13,client19,client19-56fccdb4d9-cn9rn,linkerd-proxy,417.7824
14,client19,client19-56fccdb4d9-cn9rn,linkerd-init,0.0
15,client19,client19-56fccdb4d9-cn9rn,client19,419.44746666666657
16,client19,client19-56fccdb4d9-cn9rn,sidecar,416.8266666666666
17,client1,client1-7b9db886dd-4g8f4,client1,461.2981333333333
18,client1,client1-7b9db886dd-4g8f4,linkerd-proxy,459.51733333333334
19,client1,client1-7b9db886dd-4g8f4,linkerd-init,0.0
20,client1,client1-7b9db886dd-4g8f4,sidecar,458.248
21,client17,client17-69b85b5ccf-fklhl,sidecar,438.7226666666667
22,client17,client17-69b85b5ccf-fklhl,client17,441.4928
23,client17,client17-69b85b5ccf-fklhl,linkerd-init,0.0
24,client17,client17-69b85b5ccf-fklhl,linkerd-proxy,440.07413333333324
25,client10,client10-694b6b97b4-mj6dd,linkerd-init,0.0
26,client10,client10-694b6b97b4-mj6dd,linkerd-proxy,479.12106666666665
27,client10,client10-694b6b97b4-mj6dd,client10,479.33013333333326
28,client10,client10-694b6b97b4-mj6dd,sidecar,376.06239999999997
29,client8,client8-5845965f99-7ztwx,linkerd-proxy,453.80160000000006
30,client8,client8-5845965f99-7ztwx,linkerd-init,0.0
31,client8,client8-5845965f99-7ztwx,sidecar,452.96906666666666
32,client8,client8-5845965f99-7ztwx,client8,455.6944
33,client2,client2-86cd6d8cf7-7mmvp,sidecar,528.6176
34,client2,client2-86cd6d8cf7-7mmvp,linkerd-init,0.0
35,client2,client2-86cd6d8cf7-7mmvp,client2,529.76
36,client2,client2-86cd6d8cf7-7mmvp,linkerd-proxy,529.6480000000001
37,client20,client20-65f8864f77-dg772,linkerd-proxy,550.284
38,client20,client20-65f8864f77-dg772,client20,550.4856000000001
39,client20,client20-65f8864f77-dg772,sidecar,508.56400000000014
40,client20,client20-65f8864f77-dg772,linkerd-init,0.0
41,client7,client7-544486cc98-bdvh4,linkerd-init,0.0
42,client7,client7-544486cc98-bdvh4,linkerd-proxy,429.9904000000001
43,client7,client7-544486cc98-bdvh4,sidecar,429.2568000000001
44,client7,client7-544486cc98-bdvh4,client7,431.8944000000001
45,client9,client9-d68fb99b4-cp67h,sidecar,465.8864
46,client9,client9-d68fb99b4-cp67h,client9,599.5752000000001
47,client9,client9-d68fb99b4-cp67h,linkerd-init,0.0
48,client9,client9-d68fb99b4-cp67h,linkerd-proxy,599.3512
49,client14,client14-856b5b5576-rfjf5,linkerd-init,0.0
50,client14,client14-856b5b5576-rfjf5,sidecar,452.2186666666667
51,client14,client14-856b5b5576-rfjf5,client14,455.2762666666667
52,client14,client14-856b5b5576-rfjf5,linkerd-proxy,453.24906666666675
53,client3,client3-58c68898cd-mrfrt,linkerd-init,0.0
54,client3,client3-58c68898cd-mrfrt,sidecar,497.68693333333334
55,client3,client3-58c68898cd-mrfrt,linkerd-proxy,498.90026666666665
56,client3,client3-58c68898cd-mrfrt,client3,501.0357333333333
57,client16,client16-6dc7f87f54-72wzs,linkerd-proxy,433.8058666666667
58,client16,client16-6dc7f87f54-72wzs,linkerd-init,0.0
59,client11,client11-565c48c7c7-5nvnt,client11,455.5562666666668
60,client11,client11-565c48c7c7-5nvnt,linkerd-proxy,452.4501333333334
61,client11,client11-565c48c7c7-5nvnt,linkerd-init,0.0
62,client11,client11-565c48c7c7-5nvnt,sidecar,450.7514666666667
63,orchestrator,policy-enforcer-cb8dccbd8-ks564,linkerd-proxy,239.69866666666667
64,orchestrator,orchestrator-555f7b7c9d-phvhh,linkerd-proxy,240.41173333333333
65,api-gateway,api-gateway-6bf76d45b7-fntv5,linkerd-proxy,244.74240000000003
66,orchestrator,orchestrator-555f7b7c9d-phvhh,orchestrator,206.8752
67,orchestrator,orchestrator-555f7b7c9d-phvhh,linkerd-init,0.0
68,orchestrator,policy-enforcer-cb8dccbd8-ks564,linkerd-init,0.0
69,api-gateway,api-gateway-6bf76d45b7-fntv5,linkerd-init,0.0
70,orchestrator,orchestrator-555f7b7c9d-phvhh,sidecar,241.26666666666665
71,client15,client15-79c969ddf-84xlx,linkerd-init,0.0
72,client15,client15-79c969ddf-84xlx,sidecar,458.3189333333334
73,client15,client15-79c969ddf-84xlx,linkerd-proxy,459.27093333333323
74,client15,client15-79c969ddf-84xlx,client15,461.9178666666667
75,client12,client12-79bc8d5846-z2wds,linkerd-init,0.0
76,client12,client12-79bc8d5846-z2wds,client12,421.3888
77,client12,client12-79bc8d5846-z2wds,sidecar,418.4954666666667
78,client12,client12-79bc8d5846-z2wds,linkerd-proxy,419.4474666666667
79,client5,client5-7d5ff7f8b4-sr58h,client5,491.2357333333333
80,client5,client5-7d5ff7f8b4-sr58h,linkerd-proxy,490.97440000000006
81,client5,client5-7d5ff7f8b4-sr58h,sidecar,410.2298666666666
82,client5,client5-7d5ff7f8b4-sr58h,linkerd-init,0.0
83,server,server-656f98b57f-nvr9p,sidecar,390.39093333333335
84,server,server-656f98b57f-nvr9p,server,395.1098666666666
85,server,server-656f98b57f-nvr9p,linkerd-proxy,391.4288
86,client18,client18-69db77c748-qprck,linkerd-init,0.0
87,client18,client18-69db77c748-qprck,client18,472.2965333333334
88,client18,client18-69db77c748-qprck,sidecar,468.9141333333333
89,client18,client18-69db77c748-qprck,linkerd-proxy,469.8400000000001
90,client16,client16-6dc7f87f54-72wzs,sidecar,432.90986666666674
91,client16,client16-6dc7f87f54-72wzs,client16,435.67626666666666
92,orchestrator,policy-enforcer-cb8dccbd8-ks564,policy-enforcer,205.56480000000002
93,api-gateway,api-gateway-6bf76d45b7-fntv5,sidecar,238.4816
94,orchestrator,policy-enforcer-cb8dccbd8-ks564,sidecar,238.53386666666668
95,api-gateway,api-gateway-6bf76d45b7-fntv5,api-gateway,263.4090666666667
96,client13,maurits-dijk-02684ef1client131-vnm9q,sidecar,431.4762666666667
97,client13,maurits-dijk-02684ef1client131-vnm9q,hfl-train-model,432.1968
98,client13,maurits-dijk-02684ef1client131-vnm9q,hfl-train,480.6928
99,client19,maurits-dijk-02684ef1client191-x8swk,hfl-train-model,417.3344
100,client19,maurits-dijk-02684ef1client191-x8swk,sidecar,416.4234666666667
101,client19,maurits-dijk-02684ef1client191-x8swk,hfl-train,438.32693333333333
102,client1,maurits-dijk-02684ef1client11-hkx7q,hfl-train,493.0837333333333
103,client1,maurits-dijk-02684ef1client11-hkx7q,sidecar,457.7850666666667
104,client1,maurits-dijk-02684ef1client11-hkx7q,hfl-train-model,458.4533333333333
105,client17,maurits-dijk-02684ef1client171-kxc58,hfl-train,458.248
106,client17,maurits-dijk-02684ef1client171-kxc58,sidecar,438.3456
107,client17,maurits-dijk-02684ef1client171-kxc58,hfl-train-model,438.9728
108,client8,maurits-dijk-02684ef1client81-m98zr,hfl-train-model,453.40960000000007
109,client8,maurits-dijk-02684ef1client81-m98zr,hfl-train,469.1418666666667
110,client8,maurits-dijk-02684ef1client81-m98zr,sidecar,452.64426666666674
111,client7,maurits-dijk-02684ef1client71-chd4g,sidecar,428.7416
112,client7,maurits-dijk-02684ef1client71-chd4g,hfl-train,445.70959999999997
113,client7,maurits-dijk-02684ef1client71-chd4g,hfl-train-model,429.5144
114,client14,maurits-dijk-02684ef1client141-lqcmc,sidecar,451.6698666666667
115,client14,maurits-dijk-02684ef1client141-lqcmc,hfl-train-model,452.1290666666667
116,client14,maurits-dijk-02684ef1client141-lqcmc,hfl-train,478.4416
117,client3,maurits-dijk-02684ef1client31-lz8fj,hfl-train-model,498.3589333333333
118,client3,maurits-dijk-02684ef1client31-lz8fj,sidecar,497.2613333333333
119,client3,maurits-dijk-02684ef1client31-lz8fj,hfl-train,542.8266666666667
120,client16,maurits-dijk-02684ef1client161-rttx2,hfl-train,452.7936000000001
121,client16,maurits-dijk-02684ef1client161-rttx2,hfl-train-model,433.0965333333334
122,client16,maurits-dijk-02684ef1client161-rttx2,sidecar,432.5066666666667
123,client11,maurits-dijk-02684ef1client111-4znw6,hfl-train-model,450.9754666666667
124,client11,maurits-dijk-02684ef1client111-4znw6,sidecar,450.18773333333337
125,client11,maurits-dijk-02684ef1client111-4znw6,hfl-train,477.5792
126,client15,maurits-dijk-02684ef1client151-tj2vf,hfl-train,490.3845333333333
127,client15,maurits-dijk-02684ef1client151-tj2vf,hfl-train-model,458.4496
128,client15,maurits-dijk-02684ef1client151-tj2vf,sidecar,457.856
129,client12,maurits-dijk-02684ef1client121-87qxc,hfl-train,454.24213333333336
130,client12,maurits-dijk-02684ef1client121-87qxc,sidecar,418.16693333333336
131,client12,maurits-dijk-02684ef1client121-87qxc,hfl-train-model,418.55146666666667
132,server,maurits-dijk-02684ef1server1-c4rx8,hfl-train-model,396.6218666666667
133,server,maurits-dijk-02684ef1server1-c4rx8,sidecar,345.68053333333336
134,server,maurits-dijk-02684ef1server1-c4rx8,hfl-train,388.67359999999996
135,client18,maurits-dijk-02684ef1client181-fsgt8,hfl-train,500.4570666666667
136,client18,maurits-dijk-02684ef1client181-fsgt8,hfl-train-model,469.2053333333334
137,client18,maurits-dijk-02684ef1client181-fsgt8,sidecar,468.64160000000004
138,client4,maurits-dijk-02684ef1client41-hj9wk,sidecar,483.8922666666666
139,client4,maurits-dijk-02684ef1client41-hj9wk,hfl-train,506.54986666666673
140,client4,maurits-dijk-02684ef1client41-hj9wk,hfl-train-model,484.8592000000001
141,client6,maurits-dijk-02684ef1client61-w9btb,hfl-train,500.15466666666674
142,client6,maurits-dijk-02684ef1client61-w9btb,sidecar,477.72853333333336
143,client6,maurits-dijk-02684ef1client61-w9btb,hfl-train-model,478.60213333333337
