,Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Unknown,Age_Adult,Age_Child,Age_Elderly,Age_Unknown
1,1,1,0,71.2833,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,1,0,0,7.925,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
3,1,1,0,53.1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
4,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
5,0,0,0,8.4583,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6,0,0,0,51.8625,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
7,0,3,1,21.075,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,1,0,2,11.1333,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
9,1,1,0,30.0708,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
10,1,1,1,16.7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
11,1,0,0,26.55,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
12,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
13,0,1,5,31.275,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
14,0,0,0,7.8542,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
15,1,0,0,16.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
16,0,4,1,29.125,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17,1,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
18,0,1,0,18.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
19,1,0,0,7.225,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,0,0,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
21,1,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
22,1,0,0,8.0292,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
23,1,0,0,35.5,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
24,0,3,1,21.075,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
25,1,1,5,31.3875,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
26,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
27,0,3,2,263.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
28,1,0,0,7.8792,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
29,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
30,0,0,0,27.7208,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
31,1,1,0,146.5208,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
33,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
34,0,1,0,82.1708,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
35,0,1,0,52.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
36,1,0,0,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
38,0,2,0,18.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
39,1,1,0,11.2417,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
40,0,1,0,9.475,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
41,0,1,0,21.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
42,0,0,0,7.8958,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,1,1,2,41.5792,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
44,1,0,0,7.8792,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
45,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
46,0,1,0,15.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
47,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
48,0,2,0,21.6792,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
49,0,1,0,17.8,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
50,0,4,1,39.6875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
