,Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Unknown,Age_Adult,Age_Child,Age_Elderly,Age_Unknown
594,0,1,0,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
595,0,1,1,24.15,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
596,1,0,0,33.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
597,0,0,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
598,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
599,1,1,0,56.9292,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
600,1,2,1,27.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
601,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
602,0,0,0,42.4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
603,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
604,1,0,0,26.55,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
605,0,1,0,15.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
606,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
607,1,0,0,30.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
608,1,1,2,41.5792,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
609,1,0,0,153.4625,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
610,0,1,5,31.275,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
