,Survived,SibSp,Parch,Fare,Sex_female,Sex_male,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Cabin_Unknown,Age_Adult,Age_Child,Age_Elderly,Age_Unknown
298,1,0,0,30.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
299,1,0,1,247.5208,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
300,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
301,1,2,0,23.25,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
302,0,0,0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
303,1,0,0,12.35,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
304,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
305,1,1,2,151.55,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
306,1,0,0,110.8833,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
307,1,1,0,108.9,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
308,0,1,0,24.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
309,1,0,0,56.9292,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
310,1,0,0,83.1583,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
311,1,2,2,262.375,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
312,0,1,1,26.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
313,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
314,0,1,1,26.25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
315,1,0,0,7.8542,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
316,1,1,0,26.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
317,0,0,0,14.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
318,1,0,2,164.8667,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
319,1,1,1,134.5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
320,0,0,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
321,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
322,1,0,0,12.35,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
323,1,1,1,29.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
324,0,8,2,69.55,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
325,1,0,0,135.6333,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
326,0,0,0,6.2375,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
327,1,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
328,1,1,1,20.525,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
329,1,0,1,57.9792,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
330,1,2,0,23.25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
331,0,0,0,28.5,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
332,0,0,1,153.4625,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
333,0,2,0,18.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
334,1,1,0,133.65,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
335,0,0,0,7.8958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
336,0,1,0,66.6,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
337,1,0,0,134.5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
338,1,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
339,0,0,0,35.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
340,1,1,1,26.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
341,1,3,2,263.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
342,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
343,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
344,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
345,1,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
346,1,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
347,1,1,0,16.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
348,1,1,1,15.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
349,0,0,0,8.6625,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
350,0,0,0,9.225,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
351,0,0,0,35.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
352,0,1,1,7.2292,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
353,0,1,0,17.8,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
354,0,0,0,7.225,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
355,0,0,0,9.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
356,1,0,1,55.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
357,0,0,0,13.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
358,1,0,0,7.8792,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
359,1,0,0,7.8792,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
360,0,1,4,27.9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
361,0,1,0,27.7208,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
362,0,0,1,14.4542,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
363,0,0,0,7.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
364,0,1,0,15.5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
365,0,0,0,7.25,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
366,1,1,0,75.25,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
367,1,0,0,7.2292,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
368,1,0,0,7.75,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
369,1,0,0,69.3,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
370,1,1,0,55.4417,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
371,0,1,0,6.4958,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
372,0,0,0,8.05,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
