PassengerId,Pclass,Parch,Cabin
1,3,0,
2,1,0,C85
3,3,0,
4,1,0,C123
5,3,0,
6,3,0,
7,1,0,E46
8,3,1,
9,3,2,
10,2,0,
11,3,1,G6
12,1,0,C103
13,3,0,
14,3,5,
15,3,0,
16,2,0,
17,3,1,
18,2,0,
19,3,0,
20,3,0,
21,2,0,
22,2,0,D56
23,3,0,
24,1,0,A6
25,3,1,
26,3,5,
27,3,0,
28,1,2,C23 C25 C27
29,3,0,
30,3,0,
31,1,0,
32,1,0,B78
33,3,0,
34,2,0,
35,1,0,
36,1,0,
37,3,0,
38,3,0,
39,3,0,
40,3,0,
41,3,0,
42,2,0,
43,3,0,
44,2,2,
45,3,0,
46,3,0,
47,3,0,
48,3,0,
49,3,0,
50,3,0,
51,3,1,
52,3,0,
53,1,0,D33
54,2,0,
55,1,1,B30
56,1,0,C52
57,2,0,
58,3,0,
59,2,2,
60,3,2,
61,3,0,
62,1,0,B28
63,1,0,C83
64,3,2,
65,1,0,
66,3,1,
67,2,0,F33
68,3,0,
69,3,2,
70,3,0,
71,2,0,
72,3,2,
73,2,0,
74,3,0,
75,3,0,
76,3,0,F G73
77,3,0,
78,3,0,
79,2,2,
80,3,0,
81,3,0,
82,3,0,
83,3,0,
84,1,0,
85,2,0,
86,3,0,
87,3,3,
88,3,0,
89,1,2,C23 C25 C27
90,3,0,
91,3,0,
92,3,0,
93,1,0,E31
94,3,2,
95,3,0,
96,3,0,
97,1,0,A5
98,1,1,D10 D12
99,2,1,
100,2,0,
101,3,0,
102,3,0,
103,1,1,D26
104,3,0,
105,3,0,
106,3,0,
107,3,0,
108,3,0,
109,3,0,
110,3,0,
111,1,0,C110
112,3,0,
113,3,0,
114,3,0,
115,3,0,
116,3,0,
117,3,0,
118,2,0,
119,1,1,B58 B60
120,3,2,
121,2,0,
122,3,0,
123,2,0,
124,2,0,E101
125,1,1,D26
126,3,0,
127,3,0,
128,3,0,
129,3,1,F E69
130,3,0,
131,3,0,
132,3,0,
133,3,0,
134,2,0,
135,2,0,
136,2,0,
137,1,2,D47
138,1,0,C123
139,3,0,
140,1,0,B86
141,3,2,
142,3,0,
143,3,0,
144,3,0,
145,2,0,
146,2,1,
147,3,0,
148,3,2,
149,2,2,F2
150,2,0,
151,2,0,
152,1,0,C2
153,3,0,
154,3,2,
155,3,0,
156,1,1,
157,3,0,
158,3,0,
159,3,0,
160,3,2,
161,3,1,
162,2,0,
163,3,0,
164,3,0,
165,3,1,
166,3,2,
167,1,1,E33
168,3,4,
169,1,0,
170,3,0,
171,1,0,B19
172,3,1,
173,3,1,
174,3,0,
175,1,0,A7
176,3,1,
177,3,1,
178,1,0,C49
179,2,0,
180,3,0,
181,3,2,
182,2,0,
183,3,2,
184,2,1,F4
185,3,2,
186,1,0,A32
187,3,0,
188,1,0,
189,3,1,
190,3,0,
191,2,0,
192,2,0,
193,3,0,
194,2,1,F2
195,1,0,B4
196,1,0,B80
197,3,0,
198,3,1,
199,3,0,
200,2,0,
201,3,0,
202,3,2,
203,3,0,
204,3,0,
205,3,0,
206,3,1,G6
207,3,0,
208,3,0,
209,3,0,
210,1,0,A31
211,3,0,
212,2,0,
213,3,0,
214,2,0,
215,3,0,
216,1,0,D36
217,3,0,
218,2,0,
219,1,0,D15
220,2,0,
221,3,0,
222,2,0,
223,3,0,
224,3,0,
225,1,0,C93
226,3,0,
227,2,0,
228,3,0,
229,2,0,
230,3,1,
231,1,0,C83
232,3,0,
233,2,0,
234,3,2,
235,2,0,
236,3,0,
237,2,0,
238,2,2,
239,2,0,
240,2,0,
241,3,0,
242,3,0,
243,2,0,
244,3,0,
245,3,0,
246,1,0,C78
247,3,0,
248,2,2,
249,1,1,D35
250,2,0,
251,3,0,
252,3,1,G6
253,1,0,C87
254,3,0,
255,3,2,
256,3,2,
257,1,0,
258,1,0,B77
259,1,0,
260,2,1,
261,3,0,
262,3,2,
263,1,1,E67
264,1,0,B94
265,3,0,
266,2,0,
267,3,1,
268,3,0,
269,1,1,C125
270,1,0,C99
271,1,0,
272,3,0,
273,2,1,
274,1,1,C118
275,3,0,
276,1,0,D7
277,3,0,
278,2,0,
279,3,1,
280,3,1,
281,3,0,
282,3,0,
283,3,0,
284,3,0,
285,1,0,A19
286,3,0,
287,3,0,
288,3,0,
289,2,0,
290,3,0,
291,1,0,
292,1,0,B49
293,2,0,D
294,3,0,
295,3,0,
296,1,0,
297,3,0,
298,1,2,C22 C26
299,1,0,C106
300,1,1,B58 B60
301,3,0,
302,3,0,
303,3,0,
304,2,0,E101
305,3,0,
306,1,2,C22 C26
307,1,0,
308,1,0,C65
309,2,0,
310,1,0,E36
311,1,0,C54
312,1,2,B57 B59 B63 B66
313,2,1,
314,3,0,
315,2,1,
316,3,0,
317,2,0,
318,2,0,
319,1,2,C7
320,1,1,E34
321,3,0,
322,3,0,
323,2,0,
324,2,1,
325,3,2,
326,1,0,C32
327,3,0,
328,2,0,D
329,3,1,
330,1,1,B18
331,3,0,
