,Age,Fare,Embarked_C,Embarked_S,SibSp,Embarked_Q
0,22.0,7.25,False,True,1,False
1,38.0,71.2833,True,False,1,False
2,26.0,7.925,False,True,0,False
3,35.0,53.1,False,True,1,False
4,35.0,8.05,False,True,0,False
5,,8.4583,False,False,0,True
6,54.0,51.8625,False,True,0,False
7,2.0,21.075,False,True,3,False
8,27.0,11.1333,False,True,0,False
9,14.0,30.0708,True,False,1,False
10,4.0,16.7,False,True,1,False
11,58.0,26.55,False,True,0,False
12,20.0,8.05,False,True,0,False
13,39.0,31.275,False,True,1,False
14,14.0,7.8542,False,True,0,False
15,55.0,16.0,False,True,0,False
16,2.0,29.125,False,False,4,True
17,,13.0,False,True,0,False
18,31.0,18.0,False,True,1,False
19,,7.225,True,False,0,False
20,35.0,26.0,False,True,0,False
21,34.0,13.0,False,True,0,False
22,15.0,8.0292,False,False,0,True
23,28.0,35.5,False,True,0,False
24,8.0,21.075,False,True,3,False
25,38.0,31.3875,False,True,1,False
26,,7.225,True,False,0,False
27,19.0,263.0,False,True,3,False
28,,7.8792,False,False,0,True
29,,7.8958,False,True,0,False
30,40.0,27.7208,True,False,0,False
31,,146.5208,True,False,1,False
32,,7.75,False,False,0,True
33,66.0,10.5,False,True,0,False
34,28.0,82.1708,True,False,1,False
35,42.0,52.0,False,True,1,False
36,,7.2292,True,False,0,False
37,21.0,8.05,False,True,0,False
38,18.0,18.0,False,True,2,False
39,14.0,11.2417,True,False,1,False
40,40.0,9.475,False,True,1,False
41,27.0,21.0,False,True,1,False
42,,7.8958,True,False,0,False
43,3.0,41.5792,True,False,1,False
44,19.0,7.8792,False,False,0,True
45,,8.05,False,True,0,False
46,,15.5,False,False,1,True
47,,7.75,False,False,0,True
48,,21.6792,True,False,2,False
49,18.0,17.8,False,True,1,False
50,7.0,39.6875,False,True,4,False
51,21.0,7.8,False,True,0,False
52,49.0,76.7292,True,False,1,False
53,29.0,26.0,False,True,1,False
54,65.0,61.9792,True,False,0,False
55,,35.5,False,True,0,False
56,21.0,10.5,False,True,0,False
57,28.5,7.2292,True,False,0,False
58,5.0,27.75,False,True,1,False
